sample_name,specimen_id,campaign_id,series_id,n_steel_mesh,week,ageing_days,ultimate_load_kn,terminal_ultimate_load_kn_target,baseline_predicted_ultimate_load_kn,baseline_predicted_ultimate_load_kn_std,prediction_count,is_measured_ultimate_load,baseline_residual,baseline_abs_error,candidate_predicted_ultimate_load_kn,candidate_predicted_ultimate_load_kn_std,candidate_abs_error,candidate_residual,stage2_model_name,delta_abs_error,specimen_label,specimen_change_status
D01,D01,campaign_2,D,4,36,252,1.89,1.89,1.7878527810623424,0.004950048501541801,2,True,-0.10214721893765755,0.10214721893765755,1.7582425902029004,0.10975504858098281,0.1317574097970995,-0.1317574097970995,CatBoost,0.029610190859441943,D01 | mesh 4 | actual 1.89 kN,no_meaningful_change
S1MI02,S1MI02,campaign_1,S1,7,28,196,2.43,2.43,2.3460939268553274,0.0020347823559047377,2,True,-0.0839060731446728,0.0839060731446728,2.3809895423156466,0.03934386393169681,0.049010457684353526,-0.049010457684353526,CatBoost,-0.034895615460319274,S1MI02 | mesh 7 | actual 2.43 kN,no_meaningful_change
S1MI03,S1MI03,campaign_1,S1,7,28,196,2.54,2.54,2.339958415108517,0.04551456276635868,2,True,-0.20004158489148294,0.20004158489148294,2.2930891234998914,0.050585916735948776,0.24691087650010868,-0.24691087650010868,CatBoost,0.04686929160862574,S1MI03 | mesh 7 | actual 2.54 kN,no_meaningful_change
S1MI04,S1MI04,campaign_1,S1,7,28,196,2.38,2.38,2.403021462868322,0.0022222362756708705,2,True,0.023021462868322295,0.023021462868322295,2.2918285098911393,0.016888315774322486,0.0881714901088606,-0.0881714901088606,CatBoost,0.06515002724053831,S1MI04 | mesh 7 | actual 2.38 kN,worsened
S1MI05,S1MI05,campaign_1,S1,7,28,196,2.35,2.35,2.3335847983560725,0.032785386255412115,2,True,-0.016415201643927624,0.016415201643927624,2.1738621866882886,0.043003030983002705,0.17613781331171152,-0.17613781331171152,CatBoost,0.1597226116677839,S1MI05 | mesh 7 | actual 2.35 kN,worsened
S1MI06,S1MI06,campaign_1,S1,7,28,196,2.33,2.33,2.3884469562081447,0.05297161351866341,2,True,0.05844695620814466,0.05844695620814466,2.46770306054675,0.008933044522220553,0.13770306054674997,0.13770306054674997,CatBoost,0.0792561043386053,S1MI06 | mesh 7 | actual 2.33 kN,worsened
S1MI07,S1MI07,campaign_1,S1,7,28,196,2.1,2.1,2.3985184904214023,0.03983786266975011,2,True,0.2985184904214022,0.2985184904214022,2.4289415822020395,0.08698712323829197,0.3289415822020394,0.3289415822020394,CatBoost,0.03042309178063718,S1MI07 | mesh 7 | actual 2.10 kN,no_meaningful_change
S2SA01,S2SA01,campaign_1,S2,7,28,196,2.35,2.35,2.5584451425592563,0.07240860589871025,2,True,0.20844514255925617,0.20844514255925617,2.625218078746488,0.17171252076821372,0.27521807874648774,0.27521807874648774,CatBoost,0.06677293618723157,S2SA01 | mesh 7 | actual 2.35 kN,worsened
S2SA02,S2SA02,campaign_1,S2,7,28,196,2.87,2.87,2.3919980265508607,0.09979609633639128,2,True,-0.4780019734491394,0.4780019734491394,2.4607163612958747,0.06599273229559753,0.40928363870412543,-0.40928363870412543,CatBoost,-0.06871833474501399,S2SA02 | mesh 7 | actual 2.87 kN,improved
S2SA03,S2SA03,campaign_1,S2,7,28,196,2.25,2.25,2.604883622082171,0.09639323509934605,2,True,0.35488362208217117,0.35488362208217117,2.6299084420821455,0.10328894239267628,0.37990844208214547,0.37990844208214547,CatBoost,0.0250248199999743,S2SA03 | mesh 7 | actual 2.25 kN,no_meaningful_change
S2SA04,S2SA04,campaign_1,S2,7,28,196,2.39,2.39,2.527149796848232,0.03983350336691391,2,True,0.1371497968482318,0.1371497968482318,2.5913948496313055,0.0003674944299008635,0.20139484963130538,0.20139484963130538,CatBoost,0.06424505278307358,S2SA04 | mesh 7 | actual 2.39 kN,worsened
S2SA05,S2SA05,campaign_1,S2,7,28,196,2.76,2.76,2.3848457197271706,0.07812180755390011,2,True,-0.37515428027282915,0.37515428027282915,2.407427875563827,0.07672396407819591,0.3525721244361728,-0.3525721244361728,CatBoost,-0.022582155836656348,S2SA05 | mesh 7 | actual 2.76 kN,no_meaningful_change
S2SA06,S2SA06,campaign_1,S2,7,28,196,2.48,2.48,2.527542898308912,0.03197124564809441,2,True,0.04754289830891212,0.04754289830891212,2.4816696437098753,0.07252269726584526,0.0016696437098753236,0.0016696437098753236,CatBoost,-0.045873254599036795,S2SA06 | mesh 7 | actual 2.48 kN,no_meaningful_change
S2SA07,S2SA07,campaign_1,S2,7,28,196,2.26,2.26,2.595829594083424,0.03386695582822674,2,True,0.33582959408342417,0.33582959408342417,2.5789003247650633,0.047295096030589956,0.31890032476506347,0.31890032476506347,CatBoost,-0.016929269318360696,S2SA07 | mesh 7 | actual 2.26 kN,no_meaningful_change
S3PA01,S3PA01,campaign_1,S3,7,28,196,2.79,2.79,2.6412057091892285,0.01547081818914671,2,True,-0.14879429081077156,0.14879429081077156,2.714933877158072,0.06180350362217652,0.07506612284192782,-0.07506612284192782,CatBoost,-0.07372816796884374,S3PA01 | mesh 7 | actual 2.79 kN,improved
S3PA02,S3PA02,campaign_1,S3,7,28,196,2.84,2.84,2.655330040914344,0.006125937458782035,2,True,-0.18466995908565575,0.18466995908565575,2.7891768350148114,0.02687004713143729,0.05082316498518846,-0.05082316498518846,CatBoost,-0.1338467941004673,S3PA02 | mesh 7 | actual 2.84 kN,improved
S3PA03,S3PA03,campaign_1,S3,7,28,196,2.66,2.66,2.841610975076531,0.0011334535735204915,2,True,0.18161097507653068,0.18161097507653068,2.917170601164898,0.004688471419518094,0.25717060116489776,0.25717060116489776,CatBoost,0.07555962608836708,S3PA03 | mesh 7 | actual 2.66 kN,worsened
S3PA04,S3PA04,campaign_1,S3,7,28,196,2.85,2.85,2.6650502568805807,0.008829932667890195,2,True,-0.18494974311941936,0.18494974311941936,2.827948913420168,0.020795006064505763,0.022051086579832013,-0.022051086579832013,CatBoost,-0.16289865653958735,S3PA04 | mesh 7 | actual 2.85 kN,improved
S4SAVF01,S4SAVF01,campaign_1,S4,7,28,196,2.4,2.4,2.4806272729635386,0.0390361128546906,2,True,0.08062727296353867,0.08062727296353867,2.53833019763675,0.01983844222355392,0.13833019763674992,0.13833019763674992,CatBoost,0.05770292467321125,S4SAVF01 | mesh 7 | actual 2.40 kN,worsened
S4SAVF02,S4SAVF02,campaign_1,S4,7,28,196,2.46,2.46,2.3220313473446446,0.0005709851096456596,2,True,-0.1379686526553554,0.1379686526553554,2.2994020717661563,0.07199695331976293,0.16059792823384367,-0.16059792823384367,CatBoost,0.02262927557848826,S4SAVF02 | mesh 7 | actual 2.46 kN,no_meaningful_change
S4SAVF03,S4SAVF03,campaign_1,S4,7,28,196,2.33,2.33,2.4681818216871316,0.002996893383877121,2,True,0.13818182168713156,0.13818182168713156,2.4618622840008526,0.018842940874414828,0.13186228400085254,0.13186228400085254,CatBoost,-0.00631953768627902,S4SAVF03 | mesh 7 | actual 2.33 kN,no_meaningful_change
S5VF01,S5VF01,campaign_1,S5,7,28,196,2.75,2.75,2.3768080599982273,0.018990819212922245,2,True,-0.3731919400017727,0.3731919400017727,2.408909333939488,0.08775855463310975,0.34109066606051197,-0.34109066606051197,CatBoost,-0.03210127394126072,S5VF01 | mesh 7 | actual 2.75 kN,no_meaningful_change
S5VF02,S5VF02,campaign_1,S5,7,28,196,2.45,2.45,2.4164447195399674,0.002175390491220251,2,True,-0.033555280460032755,0.033555280460032755,2.3746816645121163,0.0859535856078049,0.07531833548788391,-0.07531833548788391,CatBoost,0.04176305502785116,S5VF02 | mesh 7 | actual 2.45 kN,no_meaningful_change
S5VF03,S5VF03,campaign_1,S5,7,28,196,2.42,2.42,2.456532919278578,0.004396725931074582,2,True,0.036532919278577936,0.036532919278577936,2.5026129917290714,0.006957534672001782,0.08261299172907144,0.08261299172907144,CatBoost,0.0460800724504935,S5VF03 | mesh 7 | actual 2.42 kN,no_meaningful_change
