sample_name,specimen_id,campaign_id,series_id,n_steel_mesh,week,ageing_days,ultimate_load_kn,terminal_ultimate_load_kn_target,baseline_predicted_ultimate_load_kn,baseline_predicted_ultimate_load_kn_std,prediction_count,is_measured_ultimate_load,baseline_residual,baseline_abs_error,refined_predicted_ultimate_load_kn,refined_predicted_ultimate_load_kn_std,refined_abs_error,refined_residual,delta_abs_error,delta_prediction,specimen_label,specimen_change_status
D01,D01,campaign_2,D,4,36,252,1.89,1.89,1.7878527810623424,0.004950048501541801,2,True,-0.10214721893765755,0.10214721893765755,1.7878527810623424,0.004950048501541801,0.10214721893765755,-0.10214721893765755,0.0,0.0,D01 | mesh 4 | actual 1.89 kN,no_meaningful_change
S2SA01,S2SA01,campaign_1,S2,7,28,196,2.35,2.35,2.5584451425592563,0.07240860589871025,2,True,0.20844514255925617,0.20844514255925617,2.5584451425592563,0.07240860589871025,0.20844514255925617,0.20844514255925617,0.0,0.0,S2SA01 | mesh 7 | actual 2.35 kN,no_meaningful_change
S2SA02,S2SA02,campaign_1,S2,7,28,196,2.87,2.87,2.3919980265508607,0.09979609633639128,2,True,-0.4780019734491394,0.4780019734491394,2.3919980265508607,0.09979609633639128,0.4780019734491394,-0.4780019734491394,0.0,0.0,S2SA02 | mesh 7 | actual 2.87 kN,no_meaningful_change
S2SA03,S2SA03,campaign_1,S2,7,28,196,2.25,2.25,2.604883622082171,0.09639323509934605,2,True,0.35488362208217117,0.35488362208217117,2.604883622082171,0.09639323509934605,0.35488362208217117,0.35488362208217117,0.0,0.0,S2SA03 | mesh 7 | actual 2.25 kN,no_meaningful_change
S2SA04,S2SA04,campaign_1,S2,7,28,196,2.39,2.39,2.527149796848232,0.03983350336691391,2,True,0.1371497968482318,0.1371497968482318,2.527149796848232,0.03983350336691391,0.1371497968482318,0.1371497968482318,0.0,0.0,S2SA04 | mesh 7 | actual 2.39 kN,no_meaningful_change
S2SA05,S2SA05,campaign_1,S2,7,28,196,2.76,2.76,2.3848457197271706,0.07812180755390011,2,True,-0.37515428027282915,0.37515428027282915,2.3848457197271706,0.07812180755390011,0.37515428027282915,-0.37515428027282915,0.0,0.0,S2SA05 | mesh 7 | actual 2.76 kN,no_meaningful_change
S2SA06,S2SA06,campaign_1,S2,7,28,196,2.48,2.48,2.527542898308912,0.03197124564809441,2,True,0.04754289830891212,0.04754289830891212,2.527542898308912,0.03197124564809441,0.04754289830891212,0.04754289830891212,0.0,0.0,S2SA06 | mesh 7 | actual 2.48 kN,no_meaningful_change
S2SA07,S2SA07,campaign_1,S2,7,28,196,2.26,2.26,2.595829594083424,0.03386695582822674,2,True,0.33582959408342417,0.33582959408342417,2.595829594083424,0.03386695582822674,0.33582959408342417,0.33582959408342417,0.0,0.0,S2SA07 | mesh 7 | actual 2.26 kN,no_meaningful_change
S3PA01,S3PA01,campaign_1,S3,7,28,196,2.79,2.79,2.6412057091892285,0.01547081818914671,2,True,-0.14879429081077156,0.14879429081077156,2.6412057091892285,0.01547081818914671,0.14879429081077156,-0.14879429081077156,0.0,0.0,S3PA01 | mesh 7 | actual 2.79 kN,no_meaningful_change
S3PA02,S3PA02,campaign_1,S3,7,28,196,2.84,2.84,2.655330040914344,0.006125937458782035,2,True,-0.18466995908565575,0.18466995908565575,2.655330040914344,0.006125937458782035,0.18466995908565575,-0.18466995908565575,0.0,0.0,S3PA02 | mesh 7 | actual 2.84 kN,no_meaningful_change
S3PA03,S3PA03,campaign_1,S3,7,28,196,2.66,2.66,2.841610975076531,0.0011334535735204915,2,True,0.18161097507653068,0.18161097507653068,2.841610975076531,0.0011334535735204915,0.18161097507653068,0.18161097507653068,0.0,0.0,S3PA03 | mesh 7 | actual 2.66 kN,no_meaningful_change
S3PA04,S3PA04,campaign_1,S3,7,28,196,2.85,2.85,2.6650502568805807,0.008829932667890195,2,True,-0.18494974311941936,0.18494974311941936,2.6650502568805807,0.008829932667890195,0.18494974311941936,-0.18494974311941936,0.0,0.0,S3PA04 | mesh 7 | actual 2.85 kN,no_meaningful_change
S4SAVF01,S4SAVF01,campaign_1,S4,7,28,196,2.4,2.4,2.4806272729635386,0.0390361128546906,2,True,0.08062727296353867,0.08062727296353867,2.4806272729635386,0.0390361128546906,0.08062727296353867,0.08062727296353867,0.0,0.0,S4SAVF01 | mesh 7 | actual 2.40 kN,no_meaningful_change
S4SAVF02,S4SAVF02,campaign_1,S4,7,28,196,2.46,2.46,2.3220313473446446,0.0005709851096456596,2,True,-0.1379686526553554,0.1379686526553554,2.3220313473446446,0.0005709851096456596,0.1379686526553554,-0.1379686526553554,0.0,0.0,S4SAVF02 | mesh 7 | actual 2.46 kN,no_meaningful_change
S4SAVF03,S4SAVF03,campaign_1,S4,7,28,196,2.33,2.33,2.4681818216871316,0.002996893383877121,2,True,0.13818182168713156,0.13818182168713156,2.4681818216871316,0.002996893383877121,0.13818182168713156,0.13818182168713156,0.0,0.0,S4SAVF03 | mesh 7 | actual 2.33 kN,no_meaningful_change
S5VF01,S5VF01,campaign_1,S5,7,28,196,2.75,2.75,2.3768080599982273,0.018990819212922245,2,True,-0.3731919400017727,0.3731919400017727,2.3768080599982273,0.018990819212922245,0.3731919400017727,-0.3731919400017727,0.0,0.0,S5VF01 | mesh 7 | actual 2.75 kN,no_meaningful_change
S5VF02,S5VF02,campaign_1,S5,7,28,196,2.45,2.45,2.4164447195399674,0.002175390491220251,2,True,-0.033555280460032755,0.033555280460032755,2.4164447195399674,0.002175390491220251,0.033555280460032755,-0.033555280460032755,0.0,0.0,S5VF02 | mesh 7 | actual 2.45 kN,no_meaningful_change
S5VF03,S5VF03,campaign_1,S5,7,28,196,2.42,2.42,2.456532919278578,0.004396725931074582,2,True,0.036532919278577936,0.036532919278577936,2.456532919278578,0.004396725931074582,0.036532919278577936,0.036532919278577936,0.0,0.0,S5VF03 | mesh 7 | actual 2.42 kN,no_meaningful_change
