sample_name,specimen_id,n_steel_mesh_raw,treatment_raw,treatment_label_raw,ageing_days,surface_total_rust_pct,surface_total_rust_category,peak_rust_pct,peak_rust_category,peak_rust_location_cm,cover_mm_raw,wire_area_loss_raw,ultimate_load_kn
D06-20240902-33W,D06,4,NO,D,231,8.442,2,22.396,4,4.0,6.58,,
D06-20240918-36W,D06,4,NO,D,252,8.499,2,23.086,4,6.5,6.58,0.2253,1.61
E01-20240110-0W,E01,4,SA,SA,0,0.0,1,0.001,1,18.99,6.22,,
E01-20240124-2W,E01,4,SA,SA,14,0.0,1,0.0,1,1.51,6.22,,
E01-20240207-4W,E01,4,SA,SA,28,0.0,1,0.003,1,18.99,6.22,,
E01-20240221-6W,E01,4,SA,SA,42,0.04,1,0.324,1,1.51,6.22,,
E01-20240306-8W,E01,4,SA,SA,56,0.659,1,5.279,2,1.51,6.22,,
E01-20240320-10W,E01,4,SA,SA,70,1.049,1,8.392,2,1.51,6.22,,
E01-20240405-12W,E01,4,SA,SA,84,1.081,1,8.614,2,1.51,6.22,,
E01-20240417-14W,E01,4,SA,SA,98,1.163,1,9.167,2,1.51,6.22,,
E01-20240522-19W,E01,4,SA,SA,133,1.208,1,4.038,1,4.0,6.22,,
E01-20240529-20W,E01,4,SA,SA,140,0.945,1,3.463,1,1.51,6.22,,
E01-20240619-23W,E01,4,SA,SA,161,3.33,1,12.751,3,1.51,6.22,,
E01-20240626-24W,E01,4,SA,SA,168,4.772,1,16.553,3,1.51,6.22,,
E01-20240710-26W,E01,4,SA,SA,182,3.044,1,8.568,2,1.51,6.22,,
E01-20240724-28W,E01,4,SA,SA,196,4.921,1,10.519,2,21.49,6.22,,
E01-20240807-30W,E01,4,SA,SA,210,4.181,1,10.371,2,1.51,6.22,,
E01-20240902-33W,E01,4,SA,SA,231,3.13,1,9.995,2,1.51,6.22,,
E01-20240918-36W,E01,4,SA,SA,252,2.707,1,8.301,2,1.51,6.22,0.3889,1.7
E02-20240110-0W,E02,4,SA,SA,0,0.066,1,0.163,1,4.0,4.35,,
E02-20240124-2W,E02,4,SA,SA,14,0.005,1,0.034,1,6.5,4.35,,
E02-20240207-4W,E02,4,SA,SA,28,0.107,1,0.256,1,4.0,4.35,,
E02-20240221-6W,E02,4,SA,SA,42,0.073,1,0.247,1,13.99,4.35,,
E02-20240306-8W,E02,4,SA,SA,56,0.984,1,2.34,1,6.5,4.35,,
E02-20240320-10W,E02,4,SA,SA,70,2.769,1,6.681,2,21.49,4.35,,
E02-20240405-12W,E02,4,SA,SA,84,3.581,1,8.832,2,6.5,4.35,,
E02-20240417-14W,E02,4,SA,SA,98,4.15,1,8.997,2,6.5,4.35,,
E02-20240508-17W,E02,4,SA,SA,119,3.186,1,9.583,2,21.49,4.35,,
E02-20240522-19W,E02,4,SA,SA,133,6.69,2,12.907,3,6.5,4.35,,
E02-20240529-20W,E02,4,SA,SA,140,3.013,1,7.506,2,21.49,4.35,,
E02-20240619-23W,E02,4,SA,SA,161,6.32,2,14.389,3,6.5,4.35,,
E02-20240626-24W,E02,4,SA,SA,168,6.941,2,13.374,3,6.5,4.35,,
E02-20240710-26W,E02,4,SA,SA,182,4.343,1,11.844,2,6.5,4.35,,
E02-20240724-28W,E02,4,SA,SA,196,9.456,2,18.882,3,6.5,4.35,,
E02-20240807-30W,E02,4,SA,SA,210,6.552,2,13.017,3,6.5,4.35,,
E02-20240902-33W,E02,4,SA,SA,231,6.545,2,14.26,3,6.5,4.35,,
E02-20240918-36W,E02,4,SA,SA,252,3.178,1,6.874,2,6.5,4.35,0.2531,1.79
E03-20240110-0W,E03,4,SA,SA,0,0.013,1,0.054,1,13.99,3.56,,
E03-20240124-2W,E03,4,SA,SA,14,0.004,1,0.027,1,9.0,3.56,,
E03-20240207-4W,E03,4,SA,SA,28,0.152,1,0.438,1,11.5,3.56,,
E03-20240221-6W,E03,4,SA,SA,42,0.177,1,0.454,1,4.0,3.56,,
E03-20240306-8W,E03,4,SA,SA,56,1.938,1,4.575,1,9.0,3.56,,
E03-20240320-10W,E03,4,SA,SA,70,3.923,1,7.998,2,9.0,3.56,,
E03-20240405-12W,E03,4,SA,SA,84,5.748,2,12.256,3,9.0,3.56,,
E03-20240417-14W,E03,4,SA,SA,98,7.392,2,14.333,3,11.5,3.56,,
E03-20240508-17W,E03,4,SA,SA,119,3.212,1,5.163,2,21.49,3.56,,
E03-20240522-19W,E03,4,SA,SA,133,8.434,2,17.309,3,9.0,3.56,,
E03-20240529-20W,E03,4,SA,SA,140,5.15,2,11.366,2,11.5,3.56,,
E03-20240619-23W,E03,4,SA,SA,161,8.753,2,16.466,3,9.0,3.56,,
E03-20240626-24W,E03,4,SA,SA,168,8.907,2,15.967,3,9.0,3.56,,
E03-20240710-26W,E03,4,SA,SA,182,6.632,2,13.106,3,6.5,3.56,,
E03-20240724-28W,E03,4,SA,SA,196,13.177,2,24.916,4,6.5,3.56,,
E03-20240807-30W,E03,4,SA,SA,210,9.019,2,17.411,3,6.5,3.56,,
E03-20240902-33W,E03,4,SA,SA,231,11.33,2,20.551,3,6.5,3.56,,
E03-20240918-36W,E03,4,SA,SA,252,7.367,2,13.262,3,9.0,3.56,0.3566,1.91
E04-20240110-0W,E04,4,SA,SA,0,0.0,1,0.0,1,1.51,6.13,,
E04-20240124-2W,E04,4,SA,SA,14,0.0,1,0.0,1,1.51,6.13,,
E04-20240207-4W,E04,4,SA,SA,28,0.001,1,0.01,1,13.99,6.13,,
E04-20240221-6W,E04,4,SA,SA,42,0.0,1,0.0,1,1.51,6.13,,
E04-20240306-8W,E04,4,SA,SA,56,0.466,1,3.29,1,16.49,6.13,,
E04-20240320-10W,E04,4,SA,SA,70,0.826,1,4.877,1,16.49,6.13,,
E04-20240405-12W,E04,4,SA,SA,84,0.696,1,4.187,1,16.49,6.13,,
E04-20240417-14W,E04,4,SA,SA,98,0.778,1,3.972,1,16.49,6.13,,
E04-20240508-17W,E04,4,SA,SA,119,1.919,1,7.171,2,16.49,6.13,,
E04-20240522-19W,E04,4,SA,SA,133,0.829,1,3.973,1,16.49,6.13,,
E04-20240529-20W,E04,4,SA,SA,140,0.242,1,1.244,1,16.49,6.13,,
E04-20240619-23W,E04,4,SA,SA,161,3.321,1,9.748,2,1.51,6.13,,
E04-20240626-24W,E04,4,SA,SA,168,4.566,1,14.999,3,1.51,6.13,,
E04-20240710-26W,E04,4,SA,SA,182,2.739,1,6.255,2,1.51,6.13,,
E04-20240724-28W,E04,4,SA,SA,196,6.245,2,14.482,3,21.49,6.13,,
E04-20240807-30W,E04,4,SA,SA,210,5.742,2,14.154,3,21.49,6.13,,
E04-20240902-33W,E04,4,SA,SA,231,6.776,2,13.221,3,21.49,6.13,,
E04-20240918-36W,E04,4,SA,SA,252,3.274,1,6.458,2,21.49,6.13,0.5099,1.66
E05-20240110-0W,E05,4,SA,SA,0,0.037,1,0.158,1,13.99,4.49,,
E05-20240124-2W,E05,4,SA,SA,14,0.0,1,0.0,1,1.51,4.49,,
E05-20240207-4W,E05,4,SA,SA,28,0.016,1,0.061,1,9.0,4.49,,
E05-20240221-6W,E05,4,SA,SA,42,0.021,1,0.072,1,18.99,4.49,,
E05-20240306-8W,E05,4,SA,SA,56,0.178,1,0.705,1,18.99,4.49,,
E05-20240320-10W,E05,4,SA,SA,70,0.837,1,4.386,1,21.49,4.49,,
E05-20240405-12W,E05,4,SA,SA,84,0.676,1,3.815,1,21.49,4.49,,
E05-20240417-14W,E05,4,SA,SA,98,2.05,1,11.503,2,21.49,4.49,,
E05-20240508-17W,E05,4,SA,SA,119,1.889,1,9.927,2,21.49,4.49,,
E05-20240522-19W,E05,4,SA,SA,133,2.96,1,14.435,3,21.49,4.49,,
E05-20240529-20W,E05,4,SA,SA,140,2.119,1,11.526,2,21.49,4.49,,
E05-20240619-23W,E05,4,SA,SA,161,2.133,1,9.93,2,21.49,4.49,,
E05-20240626-24W,E05,4,SA,SA,168,3.614,1,17.046,3,21.49,4.49,,
E05-20240710-26W,E05,4,SA,SA,182,1.697,1,8.547,2,21.49,4.49,,
E05-20240724-28W,E05,4,SA,SA,196,4.77,1,16.603,3,21.49,4.49,,
E05-20240807-30W,E05,4,SA,SA,210,3.563,1,14.413,3,21.49,4.49,,
E05-20240902-33W,E05,4,SA,SA,231,2.646,1,11.288,2,21.49,4.49,,
E05-20240918-36W,E05,4,SA,SA,252,2.385,1,9.393,2,21.49,4.49,0.2336,1.64
E06-20240110-0W,E06,4,SA,SA,0,0.035,1,0.248,1,11.5,9.37,,
E06-20240124-2W,E06,4,SA,SA,14,0.0,1,0.0,1,1.51,9.37,,
E06-20240207-4W,E06,4,SA,SA,28,0.003,1,0.011,1,11.5,9.37,,
E06-20240221-6W,E06,4,SA,SA,42,0.001,1,0.009,1,11.5,9.37,,
E06-20240306-8W,E06,4,SA,SA,56,0.022,1,0.179,1,11.5,9.37,,
E06-20240320-10W,E06,4,SA,SA,70,0.035,1,0.253,1,11.5,9.37,,
E06-20240405-12W,E06,4,SA,SA,84,0.055,1,0.41,1,11.5,9.37,,
E06-20240417-14W,E06,4,SA,SA,98,0.07,1,0.462,1,11.5,9.37,,
E06-20240508-17W,E06,4,SA,SA,119,0.091,1,0.521,1,11.5,9.37,,
E06-20240522-19W,E06,4,SA,SA,133,2.397,1,10.422,2,4.0,9.37,,
E06-20240529-20W,E06,4,SA,SA,140,1.154,1,5.616,2,6.5,9.37,,
E06-20240619-23W,E06,4,SA,SA,161,2.134,1,10.118,2,4.0,9.37,,
E06-20240626-24W,E06,4,SA,SA,168,3.537,1,13.948,3,4.0,9.37,,
E06-20240710-26W,E06,4,SA,SA,182,2.016,1,7.553,2,4.0,9.37,,
E06-20240724-28W,E06,4,SA,SA,196,3.536,1,11.835,2,4.0,9.37,,
E06-20240807-30W,E06,4,SA,SA,210,2.163,1,6.964,2,4.0,9.37,,
E06-20240902-33W,E06,4,SA,SA,231,4.323,1,14.481,3,4.0,9.37,,
E06-20240918-36W,E06,4,SA,SA,252,2.638,1,8.772,2,4.0,9.37,0.0301,1.87
