target,feature_set_name,model_name,target_transform,n_features,mae_mean_group_shuffle,mae_mean_leave_one_campaign_out,mae_mean_leave_one_treatment_out,r2_mean_group_shuffle,r2_mean_leave_one_campaign_out,r2_mean_leave_one_treatment_out,rmse_mean_group_shuffle,rmse_mean_leave_one_campaign_out,rmse_mean_leave_one_treatment_out,spearman_mean_group_shuffle,spearman_mean_leave_one_campaign_out,spearman_mean_leave_one_treatment_out,mae_rank_group_shuffle,mae_rank_leave_one_treatment_out,mae_rank_leave_one_campaign_out,spearman_rank_group_shuffle,robustness_score,selected_for_deployment
wire_area_loss_frac,metadata_only,GradientBoosting,none,8,0.13037871010553784,0.12698173670122878,0.13301982288903993,-1.5659110329408739,-0.42508398130371694,-2.828187799826815,0.15677071071571697,0.15591265156520337,0.15858965247652201,0.2887763486287229,-0.24457042525117959,0.10609682304928704,21.0,22.0,5.0,4.0,12.35,False
wire_area_loss_frac,all_cleaned,RandomForest,none,42,0.09807287249860512,0.14658513056051586,0.12532490809961222,-0.39440710674479923,-0.9052576467276571,-3.198511583992925,0.12421076228906966,0.18102303935511319,0.14810278871972785,0.12484848484848483,-0.18719088455140115,0.1428571428571429,9.0,14.0,13.0,14.0,12.55,False
wire_area_loss_frac,all_cleaned,RandomForest,sqrt,42,0.09849512461157321,0.15155986231204652,0.12265344617327369,-0.42519999936868735,-1.000811221128674,-2.274898827329408,0.12756765456275382,0.18687136872477988,0.14579191020648208,0.10303030303030303,-0.09499683261551298,-0.15317460317460319,10.0,11.0,15.0,18.0,13.3,False
wire_area_loss_frac,all_cleaned,GradientBoosting,sqrt,42,0.09066683325840054,0.17409563584306986,0.1215101721702112,-0.39869307657382363,-1.6288501195169744,-1.2320264845862683,0.12034681572144452,0.21436421902423447,0.14342824290550993,0.2121212121212121,-0.19024079213003536,0.12510724046657137,2.0,8.0,22.0,10.0,13.3,False
wire_area_loss_frac,image_time_only,RandomForest,sqrt,35,0.09613907688182584,0.15378277771960255,0.12312940617999663,-0.4199519079680538,-1.0404148267733335,-2.5120967988286207,0.12819576079736308,0.18876613096426614,0.14500650209574406,0.11515151515151514,-0.1137019396684917,-0.06298799762866675,8.0,12.0,16.0,16.0,13.4,False
wire_area_loss_frac,image_time_only,RandomForest,none,35,0.09917170557210198,0.1494081979095018,0.12780283626208225,-0.4210802677581915,-0.9621408686451269,-3.6735077966793295,0.12641052373889727,0.1837992977365792,0.15243268485241604,0.15636363636363634,-0.20545761614163927,0.03383739919673009,11.0,16.0,14.0,12.0,13.7,False
wire_area_loss_frac,metadata_only,GradientBoosting,sqrt,8,0.13742931398813152,0.1330961363135364,0.14109308979482316,-1.6784930623026342,-0.5548430547519447,-3.092778572792967,0.1608678675512131,0.1618696048513478,0.16405922262202263,0.2548481260271632,-0.21193826590941783,0.12049616546577083,23.0,24.0,7.0,8.0,14.550000000000002,False
wire_area_loss_frac,metadata_only,XGBoost,sqrt,8,0.1376219795041419,0.13397382807519284,0.13436802982138601,-1.7428602781774818,-0.5551554325863466,-2.237864415222145,0.1610371249173689,0.16344381508029682,0.15413231773415376,0.2606283015696116,-0.09350821431917526,0.11707802651286794,24.0,23.0,8.0,7.0,14.85,False
wire_area_loss_frac,all_cleaned,XGBoost,none,42,0.10430559539942741,0.1567219091373682,0.12357130481404603,-0.6329880389724479,-1.1192657501692476,-2.6220090125535425,0.13050526186610617,0.1912359566253413,0.14443310379354574,0.07636363636363636,-0.048927840363998644,0.15555555555555556,16.0,13.0,17.0,20.0,16.1,False
wire_area_loss_frac,image_time_only,XGBoost,sqrt,35,0.09440804885581625,0.1572294460725162,0.13138043499941665,-0.49613621225092225,-1.2583808716747735,-2.993175143798554,0.13037246116425255,0.1986820254937419,0.15348329123367085,0.2,-0.14197566786923843,0.10465770792551465,6.0,21.0,19.0,11.0,16.1,False
wire_area_loss_frac,all_cleaned,GradientBoosting,none,42,0.10324311797825883,0.16764322781888286,0.12173862569710492,-0.7719870631157794,-1.4074356455342092,-1.5562341023340307,0.13284522632565957,0.20428201332542129,0.14397084760573234,0.10787878787878787,0.05260869565217391,0.08477584245550791,14.0,9.0,21.0,17.0,16.200000000000003,False
wire_area_loss_frac,image_time_only,XGBoost,none,35,0.09931529410462381,0.16620890361063181,0.12974276047032976,-0.5480390304674376,-1.3443460525072188,-3.894336742820077,0.13278895705794821,0.2012567925766932,0.1535019485063286,0.07636363636363636,-0.09891696725307311,0.017356120623927343,13.0,17.0,20.0,20.0,17.85,False
wire_area_loss_frac,image_time_only,GradientBoosting,sqrt,35,0.09928199673258335,0.18287711241528004,0.1309823091256794,-0.5329468708048072,-1.7036689352175605,-2.0782125599377053,0.13057334414705216,0.21740297166521474,0.15449891964384313,0.14424242424242423,-0.2860869565217391,0.0560596214189523,12.0,20.0,24.0,13.0,19.500000000000004,False
wire_area_loss_frac,image_time_only,GradientBoosting,none,35,0.10381131606279903,0.17452581043080637,0.13053496994779515,-0.6707645540446061,-1.5844068415190669,-2.826696272165977,0.13711623578970072,0.21216903005405685,0.15732777011392124,-0.027878787878787874,-0.027826086956521737,-0.07227432064041728,15.0,18.0,23.0,24.0,20.25,False
ultimate_load_kn,metadata_only,RandomForest,none,8,0.17438016594516573,0.5642465512014999,0.2034040248033369,0.5118597368069626,-6.825556427224642,-4.079093707464983,0.2141637471125662,0.6001733732776113,0.2433498124477239,0.7782648431785568,0.3531445425884874,0.12169906914393443,1.0,1.0,4.0,4.0,2.65,True
