analysis_name,feature_set_name,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,spearman_mean,spearman_std,n_splits,n_terminal_specimens,split_name,feature_set_label,model_name,n_features,pipeline_name,stage1_model_name,stage2_model_name,baseline_mae_mean,baseline_rmse_mean,baseline_spearman_mean,delta_mae_vs_baseline_mean,delta_rmse_vs_baseline_mean,delta_spearman_vs_baseline_mean,delta_mae_vs_baseline,delta_rmse_vs_baseline,delta_spearman_vs_baseline,baseline_status_threshold_kN,baseline_comparison_status
pooled_all_weeks,metadata_only,0.46504508694025004,0.08376297384937442,0.5031811793752232,0.08807653122969314,-4.639407299024246,2.2181947049298127,0.21730344972346902,0.2036215103643229,2,48,leave_one_campaign_out,metadata-only,GradientBoosting,11,,,,,,,,,,,,,,
pooled_all_weeks,metadata_rgb,0.48125310550133393,0.1347828394243689,0.5149483256405215,0.136416138816008,-5.04721445841315,3.3653929833020735,0.27848969935962475,0.21910528147548403,2,48,leave_one_campaign_out,metadata+RGB,XGBoost,52,,,,,,,,,,,,,,
pooled_all_weeks,metadata_rgb_hsv,0.5078117509321904,0.08822426013568828,0.537518509199399,0.09087632030458195,-5.42693099687999,2.4558866046538306,0.4605711149601712,0.04099127174431612,2,48,leave_one_campaign_out,metadata+RGB+HSV,GradientBoosting,88,,,,,,,,,,,,,,
pooled_all_weeks,metadata_hsv,0.5124397282059675,0.09290658642448953,0.552535241924933,0.08911419797527177,-5.7798225259295215,2.4912431696105077,0.2711594249877579,0.0783000136481492,2,48,leave_one_campaign_out,metadata+HSV,RandomForest,47,,,,,,,,,,,,,,
pooled_all_weeks,hsv_only,0.6306879070727036,0.24756337675356663,0.6914665796351742,0.25196497433214565,-9.888353321322317,6.998778698215786,0.0561416650107418,0.1556906347561051,2,48,leave_one_campaign_out,HSV-only,Ridge,36,,,,,,,,,,,,,,
pooled_all_weeks,rgb_only,0.6358167653282484,0.04056401701206116,0.6662688023482892,0.04159782628762601,-8.701795478233802,1.7087408916219775,0.3787865344898469,0.2594257440215839,2,48,leave_one_campaign_out,RGB-only,XGBoost,41,,,,,,,,,,,,,,
pooled_all_weeks,rgb_hsv,0.6423946969291514,0.04648877178690598,0.6720938846150705,0.04630899068641109,-8.809184404018652,0.8407740818132976,0.31611925181164846,0.11788701295069431,2,48,leave_one_campaign_out,RGB+HSV,RandomForest,77,,,,,,,,,,,,,,
pooled_post_onset,metadata_rgb_hsv,0.16337254316080602,0.02190833051855645,0.20807603486511916,0.03138370521345466,0.6599278381458455,0.12896173441291542,0.7907267676878571,0.09490533832741192,10,43,grouped_cv,metadata+RGB+HSV,CatBoost,88,,,,,,,,,,,,,,
pooled_post_onset,metadata_only,0.1726951529644875,0.04634738431429244,0.212063310927641,0.05397918792411999,0.6329920990216987,0.19327639465959826,0.8030448267112064,0.09880980705143262,10,43,grouped_cv,metadata-only,Ridge,11,,,,,,,,,,,,,,
pooled_post_onset,metadata_hsv,0.18205532439733946,0.03488160336358364,0.22709629988181526,0.038169406543135706,0.5719636108560826,0.22612582359808628,0.8165216661915441,0.05319256033102639,10,43,grouped_cv,metadata+HSV,Ridge,47,,,,,,,,,,,,,,
pooled_post_onset,hsv_only,0.19710940106832914,0.045602386096207,0.25042076382122375,0.05509360553912721,0.5156706447314142,0.20318806340447482,0.7383775110403926,0.1468169366780029,10,43,grouped_cv,HSV-only,CatBoost,36,,,,,,,,,,,,,,
pooled_post_onset,metadata_rgb,0.2088463016742225,0.033761711941601213,0.2537197576233981,0.041310808827338535,0.4527761203521473,0.3040397725259367,0.7698619876757222,0.11535927318262264,10,43,grouped_cv,metadata+RGB,Ridge,52,,,,,,,,,,,,,,
pooled_post_onset,rgb_hsv,0.21016701582306224,0.03396888350458426,0.25346234623517205,0.03757540901582474,0.5048296242183897,0.17255119720494605,0.7717457851279499,0.12230607440453942,10,43,grouped_cv,RGB+HSV,CatBoost,77,,,,,,,,,,,,,,
pooled_post_onset,rgb_only,0.23359776811254052,0.05324180019099173,0.27626795708923196,0.0571122625153482,0.4054168117100718,0.250303565052489,0.6602752847943096,0.18547162377802745,10,43,grouped_cv,RGB-only,CatBoost,41,,,,,,,,,,,,,,
pooled_post_onset,metadata_rgb_hsv,0.6007426706367727,0.0151588499023161,0.6312396811529646,0.014317015791539413,-8.126052064083506,0.2075859175384101,0.38837685643243647,0.05764160625695194,2,43,leave_one_campaign_out,metadata+RGB+HSV,CatBoost,88,,,,,,,,,,,,,,
pooled_post_onset,metadata_only,0.6215385479172932,0.031162562480883744,0.652167573630305,0.03102336507459878,-8.765204933553477,1.1476117870341778,0.21267398093026146,0.03517473755699903,2,43,leave_one_campaign_out,metadata-only,Ridge,11,,,,,,,,,,,,,,
pooled_post_onset,hsv_only,0.6431309068983635,0.09524211108938375,0.6727412954993637,0.09792054628574233,-9.51211759773388,3.255225194684556,0.177129504993536,0.30386550291928915,2,43,leave_one_campaign_out,HSV-only,CatBoost,36,,,,,,,,,,,,,,
pooled_post_onset,rgb_only,0.6532330027571793,0.0023757314046425285,0.6799357741156083,0.004356347723452345,-9.592855502570774,0.3752377809950226,0.3185440276939267,0.13525428687785498,2,43,leave_one_campaign_out,RGB-only,CatBoost,41,,,,,,,,,,,,,,
pooled_post_onset,rgb_hsv,0.6539708181301567,0.040496134639694085,0.6823049783500361,0.04346752404821178,-9.70204841413987,1.6005530196585627,0.06717262322062291,0.2550960987617759,2,43,leave_one_campaign_out,RGB+HSV,CatBoost,77,,,,,,,,,,,,,,
pooled_post_onset,metadata_hsv,0.7472637048306564,0.3417891416894976,0.7934978121844902,0.3169081333972244,-14.705035159607815,11.87387051289998,-0.06307881438832821,0.1636718747984787,2,43,leave_one_campaign_out,metadata+HSV,Ridge,47,,,,,,,,,,,,,,
pooled_post_onset,metadata_rgb,0.7535568639904127,0.02895086386217765,0.788821722051378,0.03212725373705649,-13.27981903224269,1.4837909312396496,0.2125202022325364,0.13134781567859505,2,43,leave_one_campaign_out,metadata+RGB,Ridge,52,,,,,,,,,,,,,,
specimen_summary_residual_refinement,specimen_metadata_only,0.17260179853785462,0.04657166460642697,0.21385001256724495,0.054263293543219855,0.6457970092224319,0.17242397055684672,0.7494695104205708,0.20051904361937492,10,48,grouped_cv,specimen-summary metadata-only,Ridge,11,specimen_summary_metadata_baseline,Ridge,none,,,,,,,0.0,0.0,0.0,0.023285832303213485,no_meaningful_change
specimen_summary_residual_refinement,mesh_residual_summary,0.19924482767954,0.03894839822674949,0.2343312654395965,0.053339181395699396,0.5759217102892806,0.18763340211577137,0.756374987982307,0.16029159967741358,10,48,grouped_cv,metadata baseline + mesh residual summaries,CatBoost,28,metadata_baseline_plus_mesh_residual_CatBoost,Ridge,CatBoost,0.17260179853785462,0.21385001256724495,0.7494695104205708,0.026643029141685353,0.02048125287235156,0.006905477561736056,0.02664302914168537,0.020481252872351557,0.006905477561736206,0.023285832303213485,worsened
specimen_summary_residual_refinement,mesh_residual_summary,0.25584382265134115,0.06845936867119193,0.35202852680760643,0.10335920570225143,0.03620926927884129,0.5213721401360326,0.6059005194551955,0.14854960376015147,10,48,grouped_cv,metadata baseline + mesh residual summaries,Ridge,28,metadata_baseline_plus_mesh_residual_Ridge,Ridge,Ridge,0.17260179853785462,0.21385001256724495,0.7494695104205708,0.0832420241134865,0.13817851424036148,-0.14356899096537534,0.08324202411348652,0.13817851424036148,-0.14356899096537523,0.023285832303213485,worsened
