column_name,feature_family,is_candidate_feature,dtype,missing_count,n_unique
img_hsv_h_mean,hsv,True,float64,0,790
img_hsv_h_p10,hsv,True,float64,0,398
img_hsv_h_p90,hsv,True,float64,0,225
img_hsv_h_std,hsv,True,float64,0,790
img_hsv_s_hist_bin_0,hsv,True,float64,0,696
img_hsv_s_hist_bin_1,hsv,True,float64,0,772
img_hsv_s_hist_bin_2,hsv,True,float64,0,755
img_hsv_s_hist_bin_3,hsv,True,float64,0,727
img_hsv_s_hist_bin_4,hsv,True,float64,0,708
img_hsv_s_hist_bin_5,hsv,True,float64,0,652
img_hsv_s_hist_bin_6,hsv,True,float64,0,586
img_hsv_s_hist_bin_7,hsv,True,float64,0,497
img_hsv_s_mean,hsv,True,float64,0,790
img_hsv_s_p10,hsv,True,float64,0,511
img_hsv_s_p90,hsv,True,float64,0,682
img_hsv_s_std,hsv,True,float64,0,790
img_hsv_v_hist_bin_0,hsv,True,float64,0,298
img_hsv_v_hist_bin_1,hsv,True,float64,0,537
img_hsv_v_hist_bin_2,hsv,True,float64,0,659
img_hsv_v_hist_bin_3,hsv,True,float64,0,716
img_hsv_v_hist_bin_4,hsv,True,float64,0,763
img_hsv_v_hist_bin_5,hsv,True,float64,0,778
img_hsv_v_hist_bin_6,hsv,True,float64,0,789
img_hsv_v_hist_bin_7,hsv,True,float64,0,787
img_hsv_v_mean,hsv,True,float64,0,790
img_hsv_v_p10,hsv,True,float64,0,124
img_hsv_v_p90,hsv,True,float64,0,67
img_hsv_v_std,hsv,True,float64,0,790
img_lbp_mean,rgb,True,float64,0,785
img_lbp_std,rgb,True,float64,0,790
img_r_mean,rgb,True,float64,0,790
img_r_std,rgb,True,float64,0,790
img_rust_area_ratio_pct,rgb,True,float64,0,698
img_rust_blob_count,rgb,True,float64,0,455
img_rust_blob_eccentricity_max,rgb,True,float64,0,43
img_rust_blob_eccentricity_mean,rgb,True,float64,0,717
img_rust_blob_largest_ratio_pct,rgb,True,float64,0,656
img_rust_blob_mean_ratio_pct,rgb,True,float64,0,710
img_rust_center_of_mass_cm,rgb,True,float64,0,724
img_strip_count,rgb,True,float64,0,1
img_strip_high_count,rgb,True,float64,0,47
img_strip_peak_location_cm,rgb,True,float64,0,46
img_strip_rust_max_pct,rgb,True,float64,0,674
img_strip_rust_mean_pct,rgb,True,float64,0,708
img_strip_rust_p90_pct,rgb,True,float64,0,667
img_strip_rust_std_pct,rgb,True,float64,0,718
is_measured_ultimate_load,excluded,False,bool,0,2
is_measured_wire_area_loss,excluded,False,bool,0,2
is_post_visible_corrosion_onset,excluded,False,bool,0,2
is_terminal_structural_row,excluded,False,bool,0,2
n_steel_mesh,metadata,True,int64,0,2
n_steel_mesh_raw,excluded,False,int64,0,2
nacl_pct,metadata,True,float64,0,2
observation_id,excluded,False,str,0,791
onset_threshold_column,excluded,False,str,0,1
onset_threshold_pct,excluded,False,float64,0,1
peak_rust_category,excluded,False,int64,0,4
peak_rust_location_cm,excluded,False,float64,0,9
peak_rust_pct,excluded,False,float64,0,641
sample_name,excluded,False,str,0,791
series_id,metadata,True,str,0,9
specimen_id,excluded,False,str,0,48
specimen_id_from_name,excluded,False,str,0,48
split_group_treatment,metadata,True,str,0,9
surface_total_rust_category,excluded,False,int64,0,4
surface_total_rust_pct,excluded,False,float64,0,571
terminal_days,excluded,False,int64,0,2
terminal_ultimate_load_kn_target,excluded,False,float64,0,39
terminal_week,excluded,False,int64,0,2
terminal_wire_area_loss_frac_target,excluded,False,float64,0,48
treatment_coarse,metadata,True,str,0,7
treatment_label_coarse,metadata,True,str,0,5
treatment_label_raw,excluded,False,str,0,5
treatment_protocol,metadata,True,str,0,10
treatment_raw,excluded,False,str,0,7
ultimate_load_kn,excluded,False,float64,743,39
visible_corrosion_onset_week,excluded,False,float64,90,11
week,metadata,True,int64,0,25
wire_area_loss_frac,excluded,False,float64,743,48
wire_area_loss_pct,excluded,False,float64,743,48
wire_area_loss_raw,excluded,False,float64,743,48
