sample_name,specimen_id,campaign_id,series_id,n_steel_mesh,week,ageing_days,ultimate_load_kn,terminal_ultimate_load_kn_target,predicted_ultimate_load_kn,predicted_ultimate_load_kn_std,prediction_count,is_measured_ultimate_load,residual,abs_error,feature_set_name,feature_set_label,model_name,feature_set_model_label
E04-20240918-36W,E04,campaign_2,E,4,36,252,1.66,1.66,1.7279757925382406,0.0106619402943148,2,True,0.0679757925382407,0.0679757925382407,metadata_rgb_hsv,metadata+RGB+HSV,CatBoost,metadata+RGB+HSV | CatBoost
E04-20240918-36W,E04,campaign_2,E,4,36,252,1.66,1.66,1.7714719888239356,0.0012558364071428,2,True,0.1114719888239357,0.1114719888239357,metadata_only,metadata-only,Ridge,metadata-only | Ridge
E05-20240918-36W,E05,campaign_2,E,4,36,252,1.64,1.64,1.84341222866139,0.0394878513925123,2,True,0.2034122286613899,0.2034122286613899,hsv_only,HSV-only,CatBoost,HSV-only | CatBoost
E05-20240918-36W,E05,campaign_2,E,4,36,252,1.64,1.64,1.944181160878347,0.0637179894733465,2,True,0.3041811608783471,0.3041811608783471,rgb_hsv,RGB+HSV,CatBoost,RGB+HSV | CatBoost
E05-20240918-36W,E05,campaign_2,E,4,36,252,1.64,1.64,1.9237675423610157,0.0187546184708701,2,True,0.2837675423610157,0.2837675423610157,rgb_only,RGB-only,CatBoost,RGB-only | CatBoost
E05-20240918-36W,E05,campaign_2,E,4,36,252,1.64,1.64,1.81250756299386,0.0355188377324685,2,True,0.1725075629938601,0.1725075629938601,metadata_hsv,metadata+HSV,Ridge,metadata+HSV | Ridge
E05-20240918-36W,E05,campaign_2,E,4,36,252,1.64,1.64,1.880387257742599,0.0214875601558088,2,True,0.2403872577425991,0.2403872577425991,metadata_rgb,metadata+RGB,Ridge,metadata+RGB | Ridge
E05-20240918-36W,E05,campaign_2,E,4,36,252,1.64,1.64,1.9431489775299329,0.0556469509769925,2,True,0.3031489775299327,0.3031489775299327,metadata_rgb_hsv,metadata+RGB+HSV,CatBoost,metadata+RGB+HSV | CatBoost
E05-20240918-36W,E05,campaign_2,E,4,36,252,1.64,1.64,1.8378333667718767,0.004295851927469,2,True,0.1978333667718768,0.1978333667718768,metadata_only,metadata-only,Ridge,metadata-only | Ridge
E06-20240918-36W,E06,campaign_2,E,4,36,252,1.87,1.87,1.7741012004668288,0.005996085428203,2,True,-0.0958987995331712,0.0958987995331712,hsv_only,HSV-only,CatBoost,HSV-only | CatBoost
