specimen_id,best_family,threshold_wire_area_loss_frac,last_observed_day,last_observed_predicted_wire_area_loss_frac,estimated_crossing_day,proxy_rul_days,right_censored,threshold_reached_by_baseline,threshold_reached_by_last_observation,threshold_crossed_during_observation,future_crossing_within_horizon,threshold_status,projection_horizon_days
S4SAVF03,linear,0.2,196.0,0.0669790945175028,,,True,False,False,False,False,not_crossed_within_horizon,365
S4SAVF03,linear,0.3,196.0,0.0669790945175028,,,True,False,False,False,False,not_crossed_within_horizon,365
S4SAVF03,linear,0.4,196.0,0.0669790945175028,,,True,False,False,False,False,not_crossed_within_horizon,365
S5VF01,linear,0.2,196.0,0.0446464434083968,,,True,False,False,False,False,not_crossed_within_horizon,365
S5VF01,linear,0.3,196.0,0.0446464434083968,,,True,False,False,False,False,not_crossed_within_horizon,365
S5VF01,linear,0.4,196.0,0.0446464434083968,,,True,False,False,False,False,not_crossed_within_horizon,365
S5VF02,linear,0.2,196.0,0.4357615119423487,0.0,,False,True,True,False,False,crossed_by_baseline,365
S5VF02,linear,0.3,196.0,0.4357615119423487,0.0,,False,True,True,False,False,crossed_by_baseline,365
S5VF02,linear,0.4,196.0,0.4357615119423487,0.0,,False,True,True,False,False,crossed_by_baseline,365
S5VF03,linear,0.2,196.0,0.250971667637326,0.0,,False,True,True,False,False,crossed_by_baseline,365
S5VF03,linear,0.3,196.0,0.250971667637326,,,True,False,False,False,False,not_crossed_within_horizon,365
S5VF03,linear,0.4,196.0,0.250971667637326,,,True,False,False,False,False,not_crossed_within_horizon,365
