specimen_id,family,criterion,rmse,fit_succeeded,params
F05,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
F05,monotone_isotonic,-479.042939556472,2.5337258102033824e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818964, 0.21901933009818966, 0.2447294901455693, 0.2447294901455693]}"
F06,linear,-174.7056437595621,0.0066475243648264,True,"{""coeffs"": [6.145332045113046e-05, 0.45683304015665127]}"
F06,log_time,-169.40488278471076,0.0077020603643253,True,"{""coeffs"": [0.001882092779467296, 0.45604410463755046]}"
F06,logistic,-171.8981125300034,0.0066322451611509,True,"{""params"": [171.39718376847898, 0.00013397575305642588, 44223.111906112405]}"
F06,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
F06,monotone_isotonic,-479.042939556472,5.067451620406765e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.4614326919216795, 0.46143269192167957, 0.4871428519690592, 0.4871428519690592]}"
G01,linear,-490.60442658805664,1.6024689053196365e-17,True,"{""coeffs"": [-1.3828757822405618e-19, 0.10942134180553903]}"
G01,log_time,-490.60442658805664,3.415051357497414e-17,True,"{""coeffs"": [-4.7036320648137094e-18, 0.10942134180553906]}"
G01,logistic,-487.7140545486951,1.2847444223537278e-10,True,"{""params"": [0.21884268553615924, -3.141830211740475e-11, -439.18062684238475]}"
G01,gompertz,-487.7140547961674,4.4647750012830007e-11,True,"{""params"": [0.1094213418303989, 1.4232243778758693e-09, 0.020576818451739885]}"
G01,monotone_isotonic,-479.042939556472,1.3877787807814457e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.10942134180553899, 0.10942134180553899, 0.10942134180553899, 0.10942134180553899, 0.10942134180553899, 0.10942134180553899, 0.10942134180553899, 0.10942134180553899, 0.10942134180553899, 0.10942134180553899, 0.10942134180553899, 0.10942134180553899, 0.10942134180553899, 0.10942134180553899, 0.10942134180553899, 0.10942134180553899, 0.10942134180553899, 0.10942134180553899]}"
G02,linear,-490.60442658805664,1.6355129777955988e-17,True,"{""coeffs"": [-1.9665927003659518e-19, 0.11770520730920893]}"
G02,log_time,-490.60442658805664,6.206335383118183e-17,True,"{""coeffs"": [-1.4933067768835039e-18, 0.11770520730920897]}"
G02,logistic,-487.7140547153235,8.206253954074559e-11,True,"{""params"": [0.2354104162639238, -1.8656442035805994e-11, -627.9998567284925]}"
G02,gompertz,-487.7140545697467,1.2357659542730427e-10,True,"{""params"": [0.11770520720547764, -3.7358908538995175e-09, 0.020556291107501533]}"
G02,monotone_isotonic,-479.042939556472,1.2239058429067097e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.11770520730920889, 0.11770520730920889, 0.11770520730920889, 0.11770520730920889, 0.11770520730920889, 0.11770520730920889, 0.11770520730920889, 0.11770520730920889, 0.11770520730920889, 0.11770520730920889, 0.11770520730920889, 0.11770520730920889, 0.11770520730920889, 0.11770520730920889, 0.1177052073092089, 0.1177052073092089, 0.1177052073092089, 0.1177052073092089]}"
G03,linear,-490.60442658805664,1.2668629051016912e-17,True,"{""coeffs"": [-3.3654035535992007e-20, 0.06359310737932354]}"
G03,log_time,-490.60442658805664,3.254629732262919e-17,True,"{""coeffs"": [-5.510615375490021e-18, 0.06359310737932358]}"
G03,logistic,-487.7140545391054,1.3064471822937568e-10,True,"{""params"": [0.12718621565528834, -5.4368381648042545e-11, -126.81104202096196]}"
G03,gompertz,-487.7140547281388,7.734821641288877e-11,True,"{""params"": [0.06359310743992738, 4.334669085406645e-09, 0.020493493962295304]}"
