specimen_id,ageing_days,raw_predicted_wire_area_loss_frac,monotone_proxy_wire_area_loss_frac
E04,84.0,0.4093145716423696,0.4093145716423696
E04,98.0,0.4093145716423696,0.4093145716423696
E04,119.0,0.4093145716423696,0.4093145716423696
E04,133.0,0.4093145716423696,0.4093145716423696
E04,140.0,0.4093145716423696,0.4093145716423696
E04,161.0,0.4093145716423696,0.4093145716423696
E04,168.0,0.4093145716423696,0.4093145716423696
E04,182.0,0.4093145716423696,0.4093145716423696
E04,196.0,0.4093145716423696,0.4093145716423696
E04,210.0,0.4093145716423696,0.4093145716423696
E04,231.0,0.43604134272160977,0.43604134272160977
E04,252.0,0.43604134272160977,0.43604134272160977
E05,0.0,0.26330759334232656,0.26330759334232656
E05,14.0,0.26330759334232656,0.26330759334232656
E05,28.0,0.26330759334232656,0.26330759334232656
E05,42.0,0.26330759334232656,0.26330759334232656
E05,56.0,0.26330759334232656,0.26330759334232656
E05,70.0,0.26330759334232656,0.26330759334232656
E05,84.0,0.26330759334232656,0.26330759334232656
E05,98.0,0.26330759334232656,0.26330759334232656
E05,119.0,0.26330759334232656,0.26330759334232656
E05,133.0,0.26330759334232656,0.26330759334232656
E05,140.0,0.26330759334232656,0.26330759334232656
E05,161.0,0.26330759334232656,0.26330759334232656
E05,168.0,0.26330759334232656,0.26330759334232656
E05,182.0,0.26330759334232656,0.26330759334232656
E05,196.0,0.26330759334232656,0.26330759334232656
E05,210.0,0.26330759334232656,0.26330759334232656
E05,231.0,0.28451030041516223,0.28451030041516223
E05,252.0,0.28451030041516223,0.28451030041516223
E06,0.0,0.05412982279195738,0.05412982279195738
E06,14.0,0.05412982279195738,0.05412982279195738
E06,28.0,0.05412982279195738,0.05412982279195738
E06,42.0,0.05412982279195738,0.05412982279195738
E06,56.0,0.05412982279195738,0.05412982279195738
E06,70.0,0.05412982279195738,0.05412982279195738
E06,84.0,0.05412982279195738,0.05412982279195738
E06,98.0,0.05412982279195738,0.05412982279195738
E06,119.0,0.05412982279195738,0.05412982279195738
E06,133.0,0.05412982279195738,0.05412982279195738
E06,140.0,0.05412982279195738,0.05412982279195738
E06,161.0,0.05412982279195738,0.05412982279195738
E06,168.0,0.05412982279195738,0.05412982279195738
E06,182.0,0.05412982279195738,0.05412982279195738
E06,196.0,0.05412982279195738,0.05412982279195738
E06,210.0,0.05412982279195738,0.05412982279195738
E06,231.0,0.057292416492715714,0.057292416492715714
E06,252.0,0.057292416492715714,0.057292416492715714
F01,0.0,0.21674876061411208,0.21674876061411208
F01,14.0,0.21674876061411208,0.21674876061411208
F01,28.0,0.21674876061411208,0.21674876061411208
F01,42.0,0.21674876061411208,0.21674876061411208
F01,56.0,0.21674876061411208,0.21674876061411208
F01,70.0,0.21674876061411208,0.21674876061411208
F01,84.0,0.21674876061411208,0.21674876061411208
F01,98.0,0.21674876061411208,0.21674876061411208
F01,119.0,0.21674876061411208,0.21674876061411208
F01,133.0,0.21674876061411208,0.21674876061411208
F01,140.0,0.21674876061411208,0.21674876061411208
F01,161.0,0.21674876061411208,0.21674876061411208
F01,168.0,0.21674876061411208,0.21674876061411208
F01,182.0,0.21674876061411208,0.21674876061411208
F01,196.0,0.21674876061411208,0.21674876061411208
F01,210.0,0.21674876061411208,0.21674876061411208
F01,231.0,0.24187686200950861,0.24187686200950861
F01,252.0,0.24187686200950861,0.24187686200950861
F02,0.0,0.40867147100298523,0.40867147100298523
F02,14.0,0.40867147100298523,0.40867147100298523
F02,28.0,0.40867147100298523,0.40867147100298523
F02,42.0,0.40867147100298523,0.40867147100298523
F02,56.0,0.40867147100298523,0.40867147100298523
F02,70.0,0.40867147100298523,0.40867147100298523
F02,84.0,0.40867147100298523,0.40867147100298523
F02,98.0,0.40867147100298523,0.40867147100298523
F02,119.0,0.40867147100298523,0.40867147100298523
F02,133.0,0.40867147100298523,0.40867147100298523
F02,140.0,0.40867147100298523,0.40867147100298523
F02,161.0,0.40867147100298523,0.40867147100298523
F02,168.0,0.40867147100298523,0.40867147100298523
F02,182.0,0.40867147100298523,0.40867147100298523
F02,196.0,0.40867147100298523,0.40867147100298523
F02,210.0,0.40867147100298523,0.40867147100298523
F02,231.0,0.43379957239838174,0.43379957239838174
F02,252.0,0.43379957239838174,0.43379957239838174
F03,0.0,0.36190468208211113,0.36190468208211113
F03,14.0,0.36190468208211113,0.36190468208211113
F03,28.0,0.36190468208211113,0.36190468208211113
F03,42.0,0.36190468208211113,0.36190468208211113
F03,56.0,0.36190468208211113,0.36190468208211113
F03,70.0,0.36190468208211113,0.36190468208211113
F03,84.0,0.36190468208211113,0.36190468208211113
F03,98.0,0.36190468208211113,0.36190468208211113
F03,119.0,0.36190468208211113,0.36190468208211113
F03,133.0,0.36190468208211113,0.36190468208211113
F03,140.0,0.36190468208211113,0.36190468208211113
F03,161.0,0.36190468208211113,0.36190468208211113
F03,168.0,0.36190468208211113,0.36190468208211113
F03,182.0,0.36190468208211113,0.36190468208211113
F03,196.0,0.36190468208211113,0.36190468208211113
F03,210.0,0.36190468208211113,0.36190468208211113
F03,231.0,0.38703278347750764,0.38703278347750764
