stage,target,model_name,target_transform,fraction,n_train_rows_mean,n_train_rows_std,n_train_groups_mean,n_train_groups_std,train_mae_mean,train_mae_std,test_mae_mean,test_mae_std,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std,train_r2_mean,train_r2_std,test_r2_mean,test_r2_std,train_spearman_mean,train_spearman_std,test_spearman_mean,test_spearman_std
hidden_damage,wire_area_loss_frac,CatBoost,none,0.2,8.0,0.0,8.0,0.0,0.0022529712481703505,0.0010297078401974985,0.12887275170515428,0.02286626585947822,0.0028647938103062228,0.0012098442518775577,0.16525223323103072,0.0268330314739665,0.9994889543444117,0.00012676410663845845,-2.101789885609932,2.105616129327335,1.0,0.0,-0.22270568440575414,0.3000730881771432
hidden_damage,wire_area_loss_frac,CatBoost,none,0.4,15.0,0.0,15.0,0.0,0.005640241702142568,0.003188301226069928,0.1165734168070089,0.03865424369408264,0.00670614301478607,0.003572001712035576,0.14788001560527914,0.04700117432101527,0.9975760631945494,0.0022778973184564805,-1.0468405573502637,0.9884992097987846,0.9964285714285712,0.0025253813613805767,0.3073033255460709,0.14457402790183668
hidden_damage,wire_area_loss_frac,CatBoost,none,0.6,23.0,0.0,23.0,0.0,0.015522475569869604,0.0023727085491787865,0.11423755050204798,0.03284745915940548,0.018847604220293884,0.003071402901853109,0.1404639181455771,0.03307360120475732,0.9813059939870985,0.0057186420225645105,-1.1877524635391503,1.7030208110127432,0.9723320158102767,0.027196361550440515,0.24367695226399172,0.25789366009442277
hidden_damage,wire_area_loss_frac,CatBoost,none,0.8,30.0,0.0,30.0,0.0,0.019790213678505364,0.0025202237090884427,0.1307897771905318,0.030535474263435735,0.024198546973824113,0.0029450408015088167,0.15618645065713407,0.035035510639279926,0.9688795954550855,0.010717179309903143,-1.5586284664072925,1.7470668089059493,0.9784649610678532,0.007626516168566217,0.16507356723805877,0.08715145867212817
hidden_damage,wire_area_loss_frac,CatBoost,none,1.0,38.0,0.0,38.0,0.0,0.027428798015783462,0.003132502587452977,0.12379748384959213,0.03923734485213128,0.03402085630157177,0.003330081202928122,0.15000385790437779,0.046248996772162966,0.941696408227146,0.011329238254318426,-1.225127469744749,1.3399734814599347,0.9629718787613524,0.007627212284794451,0.2887911081296786,0.16505145404521462
hidden_damage,ultimate_load_kn,RandomForest,none,0.2,8.0,0.0,8.0,0.0,0.13183340277777772,0.038996907846093255,0.20283532222222256,0.07402429046079702,0.17507766442675377,0.046492539520405,0.24405188208463388,0.0755942634681423,0.7394469218762629,0.166379061040608,0.43838635608597887,0.21175412242499816,0.8298425405715351,0.12784280016681673,0.8981819088738,0.07681383228775376
hidden_damage,ultimate_load_kn,RandomForest,none,0.4,15.0,0.0,15.0,0.0,0.11110923350969974,0.017460434517452234,0.2166484968253969,0.07375294453017907,0.14507966575320755,0.02187687453879863,0.25067408620452847,0.07149395066687944,0.8097098524777528,0.08655529632996149,0.3923619010048312,0.3541152032008821,0.8991164371782157,0.03847227240576322,0.7566533031358409,0.053182673694554844
hidden_damage,ultimate_load_kn,RandomForest,none,0.6,23.0,0.0,23.0,0.0,0.10612643949850412,0.02155311766746997,0.19027628968253998,0.023751636284240582,0.1349936759833717,0.03398875892385988,0.22754529531309284,0.025280427096132013,0.8689470473966207,0.09182782930756088,0.45316173618862754,0.34913662907378423,0.9248387834374405,0.03266779006733512,0.7399433039686676,0.10599480186832985
hidden_damage,ultimate_load_kn,RandomForest,none,0.8,30.0,0.0,30.0,0.0,0.11442105618085607,0.013117804045583744,0.19793565553150536,0.047544258130979275,0.14818911023264597,0.01156110369687573,0.237240653482807,0.05061070282655359,0.8339175049181019,0.047077633898822316,0.4568667264554449,0.20367514744608803,0.9174838366026655,0.018350693950103813,0.7891850037133645,0.10405178421099606
hidden_damage,ultimate_load_kn,RandomForest,none,1.0,38.0,0.0,38.0,0.0,0.1060329829497986,0.0047609735518044675,0.1743801659451656,0.020126486006728065,0.14240849853217402,0.005997387951274797,0.21416374711256606,0.018568630644214046,0.8583267801925245,0.02160971282225335,0.5118597368069635,0.29348119158481273,0.9255220008474142,0.020066998347093707,0.7782648431785568,0.11198553027650138
