specimen_id,family,criterion,rmse,fit_succeeded,params
F04,monotone_isotonic,-479.042939556472,0.0,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.2461030811324746, 0.2461030811324746, 0.27770425106925517, 0.27770425106925517, 0.27770425106925517, 0.27770425106925517, 0.27770425106925517, 0.29645716509719056, 0.29645716509719056, 0.29645716509719056, 0.29645716509719056, 0.29645716509719056, 0.30333689825773086, 0.30333689825773086, 0.3178549646128744, 0.3178549646128744, 0.3178549646128744, 0.3178549646128744]}"
F05,linear,-136.86493715147625,0.01901779764709167,True,"{""coeffs"": [0.0003203195431046354, 0.2581322892237526]}"
F05,log_time,-138.13866569909933,0.018356686780614785,True,"{""coeffs"": [0.018844813079810334, 0.21444037059076676]}"
F05,logistic,-149.18503188706492,0.012464221982936955,True,"{""params"": [0.32198225159482924, 0.01987638134132712, -43.19115620473602]}"
F05,gompertz,-148.4856812089323,0.012708724253947408,True,"{""params"": [0.322932917255294, 0.3553242661990039, 0.017571437955824484]}"
F05,monotone_isotonic,-479.042939556472,4.7175407225030635e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.24343119538593982, 0.24343119538593982, 0.2439448375364705, 0.25174117696279313, 0.2570711899860538, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176]}"
F06,linear,-110.25547307882321,0.039826281752964356,True,"{""coeffs"": [0.0007351651636320729, 0.2390115189924765]}"
F06,log_time,-101.3526756537555,0.05100006812531923,True,"{""coeffs"": [0.03450333343855326, 0.17705569499763618]}"
F06,logistic,-108.45379711182207,0.038639902658154375,True,"{""params"": [5844.143718536007, 0.002306502629285123, 4371.270993654178]}"
F06,gompertz,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
F06,monotone_isotonic,-479.042939556472,0.0,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.23502130175333244, 0.23502130175333244, 0.2668164890736434, 0.2935963074043504, 0.2935963074043504, 0.2935963074043504, 0.32119050793802084, 0.32119050793802084, 0.32119050793802084, 0.32119050793802084, 0.34896825170647583, 0.34896825170647583, 0.34896825170647583, 0.34896825170647583, 0.34896825170647583, 0.34896825170647583, 0.34896825170647583, 0.5626202507462507]}"
G01,linear,-126.20825092782854,0.02556934879420551,True,"{""coeffs"": [0.0007890315939555791, 0.033202900184170145]}"
G01,log_time,-104.86917707300287,0.046253927232614775,True,"{""coeffs"": [0.03327099165908953, -0.016818356648758]}"
G01,logistic,-126.93400565277076,0.023125741861272933,True,"{""params"": [0.266314320594584, 0.014559959509092805, 128.03274151825565]}"
G01,gompertz,-125.196748862975,0.02426908932838024,True,"{""params"": [0.370609244262759, 2.3322952809877213, 0.006412288320536279]}"
G01,monotone_isotonic,-479.042939556472,1.7308642421063434e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.06034205160459738, 0.06034205160459738, 0.06034205160459738, 0.06034205160459738, 0.06034205160459738, 0.06034205160459738, 0.10211987548710806, 0.10211987548710806, 0.10211987548710806, 0.10211987548710806, 0.10211987548710806, 0.20689221677870312, 0.20689221677870312, 0.20689221677870312, 0.20689221677870312, 0.20689221677870312, 0.20689221677870312, 0.20689221677870312]}"
G02,linear,-207.40060432703572,0.0026806280090039083,True,"{""coeffs"": [1.536279208299296e-05, 0.23873968885730137]}"
G02,log_time,-224.35723651314106,0.0016736944409261503,True,"{""coeffs"": [0.001840519838531305, 0.23254056304664195]}"
G02,logistic,,,False,"{""error"": ""Optimal parameters not found: Number of calls to function has reached maxfev = 20000.""}"
G02,gompertz,-487.71405482964667,5.488842450466018e-12,True,"{""params"": [0.24131098694388606, 0.05420042339891431, 1.4368621730412356]}"
G02,monotone_isotonic,-479.042939556472,2.5337258102033824e-17,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.22857995931862107, 0.24131098694247405, 0.24131098694247405, 0.24131098694247405, 0.24131098694247405, 0.24131098694247405, 0.24131098694247405, 0.24131098694247405, 0.24131098694247405, 0.24131098694247405, 0.24131098694247405, 0.24131098694247405, 0.24131098694247405, 0.24131098694247405, 0.24131098694247405, 0.24131098694247405, 0.24131098694247408, 0.24131098694247408]}"
G03,linear,-103.52739323349013,0.048010423655830706,True,"{""coeffs"": [0.0011161157331748875, 0.021549009756354362]}"
G03,log_time,-91.76608776526763,0.06656115017328645,True,"{""coeffs"": [0.05031270707828979, -0.06344419317835773]}"
G03,logistic,-116.96382626212758,0.030505158220851238,True,"{""params"": [0.2446844812689495, 0.17601062896156658, 104.23826626707368]}"
G03,gompertz,-116.63507026781585,0.03078501058724567,True,"{""params"": [0.24312097782753925, 16267362945035.127, 0.30565143251822485]}"
G03,monotone_isotonic,-479.042939556472,0.0,True,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.049363754450594516, 0.049363754450594516, 0.049363754450594516, 0.049363754450594516, 0.049363754450594516, 0.049363754450594516, 0.049363754450594516, 0.049363754450594516, 0.24254610784957975, 0.24254610784957975, 0.24254610784957975, 0.24254610784957975, 0.24339741164420947, 0.24339741164420947, 0.24339741164420947, 0.24339741164420947, 0.24339741164420947, 0.24339741164420947]}"
G04,linear,-120.8255675605819,0.02969305868073483,True,"{""coeffs"": [0.0007961585842581594, 0.0498441493113531]}"
G04,log_time,-103.3510142522118,0.04824622387080962,True,"{""coeffs"": [0.03483232944141813, -0.006152440242562523]}"
G04,logistic,-120.88056983560793,0.02736041767602553,True,"{""params"": [0.24631485519786514, 0.017309664940208268, 92.00020804805882]}"
G04,gompertz,-119.4862649955927,0.028440894272670415,True,"{""params"": [0.29660970720462443, 1.9336165041391806, 0.00870530344283014]}"
