specimen_id,best_family,criterion,best_model_name,last_observed_day,last_observed_predicted_wire_area_loss_frac,params
E05,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.30807091217882865,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.24433994287424132, 0.24433994287424132, 0.24433994287424132, 0.24433994287424132, 0.24655880973551797, 0.24655880973551797, 0.24655880973551797, 0.24655880973551797, 0.24655880973551797, 0.24655880973551797, 0.24655880973551797, 0.24655880973551797, 0.3080709121788287, 0.3080709121788287, 0.3080709121788287, 0.3080709121788287, 0.3080709121788287, 0.3080709121788287]}"
E06,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.24825505151560312,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.22131911825017708, 0.22131911825017708, 0.22395099344478533, 0.22670444976956539, 0.22670444976956539, 0.22670444976956539, 0.23268165498815835, 0.23268165498815835, 0.23268165498815835, 0.23268165498815835, 0.23268165498815835, 0.23268165498815835, 0.23268165498815835, 0.23268165498815838, 0.23268165498815838, 0.23268165498815838, 0.24825505151560312, 0.24825505151560312]}"
F01,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.3560211561908765,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.27128303252011127, 0.27128303252011127, 0.27128303252011127, 0.27128303252011127, 0.27128303252011127, 0.27128303252011127, 0.27128303252011127, 0.35602115619087643, 0.35602115619087643, 0.35602115619087643, 0.35602115619087643, 0.35602115619087643, 0.35602115619087643, 0.3560211561908765, 0.3560211561908765, 0.3560211561908765, 0.3560211561908765, 0.3560211561908765]}"
F02,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.4685616497524818,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.13047190660667868, 0.1651722754137107, 0.1651722754137107, 0.17199175870530858, 0.23841498940759154, 0.23841498940759154, 0.23841498940759154, 0.23841498940759154, 0.23979576872295424, 0.23979576872295424, 0.23979576872295424, 0.23979576872295424, 0.2816788433227131, 0.2816788433227131, 0.2816788433227131, 0.2816788433227131, 0.3095699741449965, 0.4685616497524818]}"
F03,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.42326561626585496,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.2000199240545081, 0.2000199240545081, 0.2810342617241914, 0.2810342617241914, 0.2810342617241914, 0.2810342617241914, 0.2810342617241914, 0.3387385357835803, 0.3387385357835803, 0.3387385357835803, 0.3387385357835803, 0.3387385357835803, 0.3387385357835803, 0.3387385357835803, 0.3579729834664629, 0.3579729834664629, 0.3579729834664629, 0.42326561626585496]}"
F04,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.3178549646128744,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.2461030811324746, 0.2461030811324746, 0.27770425106925517, 0.27770425106925517, 0.27770425106925517, 0.27770425106925517, 0.27770425106925517, 0.29645716509719056, 0.29645716509719056, 0.29645716509719056, 0.29645716509719056, 0.29645716509719056, 0.30333689825773086, 0.30333689825773086, 0.3178549646128744, 0.3178549646128744, 0.3178549646128744, 0.3178549646128744]}"
F05,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.3158722686854517,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.24343119538593982, 0.24343119538593982, 0.2439448375364705, 0.25174117696279313, 0.2570711899860538, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176, 0.31587226868545176]}"
F06,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.5626202507462507,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.23502130175333244, 0.23502130175333244, 0.2668164890736434, 0.2935963074043504, 0.2935963074043504, 0.2935963074043504, 0.32119050793802084, 0.32119050793802084, 0.32119050793802084, 0.32119050793802084, 0.34896825170647583, 0.34896825170647583, 0.34896825170647583, 0.34896825170647583, 0.34896825170647583, 0.34896825170647583, 0.34896825170647583, 0.5626202507462507]}"
G01,monotone_isotonic,-479.042939556472,CatBoost,252.0,0.20689221677870315,"{""x"": [0.0, 14.0, 28.0, 42.0, 56.0, 70.0, 84.0, 98.0, 119.0, 133.0, 140.0, 161.0, 168.0, 182.0, 196.0, 210.0, 231.0, 252.0], ""y"": [0.06034205160459738, 0.06034205160459738, 0.06034205160459738, 0.06034205160459738, 0.06034205160459738, 0.06034205160459738, 0.10211987548710806, 0.10211987548710806, 0.10211987548710806, 0.10211987548710806, 0.10211987548710806, 0.20689221677870312, 0.20689221677870312, 0.20689221677870312, 0.20689221677870312, 0.20689221677870312, 0.20689221677870312, 0.20689221677870312]}"
G02,gompertz,-487.71405482964667,CatBoost,252.0,0.24131098694247408,"{""params"": [0.24131098694388606, 0.05420042339891431, 1.4368621730412356]}"
