target,model_name,target_transform,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,spearman_mean,spearman_std,strategy,feature_set_name,feature_set_description,n_features,selection_candidate
wire_area_loss_frac,CatBoost,sqrt,0.1195244955635227,0.04176767357797486,0.1436888366568828,0.050550161796684256,-2.416386401383232,4.2304728933057945,0.22617897340101806,0.6660734292351155,leave_one_treatment_out,all_cleaned,All cleaned metadata and image features after QC and collinearity pruning.,42,True
wire_area_loss_frac,GradientBoosting,sqrt,0.1215101721702112,0.05535231222230417,0.14342824290550993,0.06048156127199719,-1.2320264845862683,1.0699575120301241,0.12510724046657137,0.5563178406417942,leave_one_treatment_out,all_cleaned,All cleaned metadata and image features after QC and collinearity pruning.,42,True
wire_area_loss_frac,RandomForest,sqrt,0.12265344617327369,0.043670859490478664,0.14579191020648208,0.04817499934369241,-2.274898827329408,3.7140378434309045,-0.15317460317460319,0.581135314680027,leave_one_treatment_out,all_cleaned,All cleaned metadata and image features after QC and collinearity pruning.,42,True
wire_area_loss_frac,CatBoost,sqrt,0.14650276378480268,0.03922522640023565,0.18089556120844769,0.04804384388544467,-0.8742442332619766,0.3998849783066658,-0.2041521337300644,0.006425505404183019,leave_one_campaign_out,all_cleaned,All cleaned metadata and image features after QC and collinearity pruning.,42,True
wire_area_loss_frac,RandomForest,sqrt,0.15155986231204652,0.039900656240033146,0.18687136872477988,0.048502977798756265,-1.000811221128674,0.40240984677126324,-0.09499683261551298,0.17555142373093294,leave_one_campaign_out,all_cleaned,All cleaned metadata and image features after QC and collinearity pruning.,42,True
wire_area_loss_frac,XGBoost,sqrt,0.15687911655030187,0.04834005649656906,0.1952921637226632,0.06159211573111242,-1.1813978850165485,0.6842797854947265,-0.003275288255792555,0.18294584102341338,leave_one_campaign_out,all_cleaned,All cleaned metadata and image features after QC and collinearity pruning.,42,True
wire_area_loss_frac,GradientBoosting,sqrt,0.17409563584306986,0.06757346743833352,0.21436421902423447,0.07237775565529228,-1.6288501195169744,0.9412565229407085,-0.19024079213003536,0.035388432824385474,leave_one_campaign_out,all_cleaned,All cleaned metadata and image features after QC and collinearity pruning.,42,True
wire_area_loss_frac,CatBoost,none,0.09209298112507466,0.022033648226832667,0.12101947789330018,0.03071597440470216,-0.41125054117794474,0.5841085446100559,0.12484848484848483,0.22340548154138126,group_shuffle,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,RandomForest,none,0.09917170557210198,0.03524064492807406,0.12641052373889727,0.04097910405128825,-0.4210802677581915,0.3913869170473096,0.15636363636363634,0.1994666902373257,group_shuffle,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,XGBoost,none,0.09931529410462381,0.036148843459030716,0.13278895705794821,0.04857475345541257,-0.5480390304674376,0.36044633039198765,0.07636363636363636,0.25330143339826594,group_shuffle,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,GradientBoosting,none,0.10381131606279903,0.034791197758289656,0.13711623578970072,0.046715403326497686,-0.6707645540446061,0.37904787869107615,-0.027878787878787874,0.23712387451308123,group_shuffle,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,CatBoost,none,0.1198993721887274,0.04358407206938054,0.1452894344532427,0.04774326211467541,-2.6414761029445843,4.75411016724771,0.0753968253968254,0.603657127380802,leave_one_treatment_out,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,RandomForest,none,0.12780283626208225,0.05466412414730087,0.15243268485241604,0.05402505991743306,-3.6735077966793295,6.9266585910941565,0.03383739919673009,0.545832824995897,leave_one_treatment_out,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,XGBoost,none,0.12974276047032976,0.03709648230641366,0.1535019485063286,0.04520095958949486,-3.894336742820077,5.841876676896048,0.017356120623927343,0.6557571984115169,leave_one_treatment_out,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,GradientBoosting,none,0.13053496994779515,0.05277824454909661,0.15732777011392124,0.0541171668389523,-2.826696272165977,3.6810172163029313,-0.07227432064041728,0.4734873304626494,leave_one_treatment_out,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,CatBoost,none,0.14418621735253206,0.023722530313047996,0.1799139885979536,0.03240632009647133,-0.8696579583299117,0.07411391906457843,-0.19804796932842575,0.22165625268678757,leave_one_campaign_out,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,RandomForest,none,0.1494081979095018,0.021664450071630214,0.1837992977365792,0.026746476219831127,-0.9621408686451269,0.05980648642933186,-0.20545761614163927,0.006488483841929858,leave_one_campaign_out,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,XGBoost,none,0.16620890361063181,0.021665066535409574,0.2012567925766932,0.033501887778195495,-1.3443460525072188,0.027940507390686098,-0.09891696725307311,0.08884395518918924,leave_one_campaign_out,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,GradientBoosting,none,0.17452581043080637,0.03872327727454173,0.21216903005405685,0.04933064470952297,-1.5844068415190669,0.37781153510639454,-0.027826086956521737,0.07255530450435878,leave_one_campaign_out,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,CatBoost,sqrt,0.09176981993952482,0.031223076366986985,0.12257287604053893,0.03973919840530033,-0.33100650972333096,0.36435557377465666,0.08606060606060603,0.3190435660870225,group_shuffle,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,XGBoost,sqrt,0.09440804885581625,0.034608647112186926,0.13037246116425255,0.05148120942547691,-0.49613621225092225,0.5246754502069858,0.2,0.2536781761994709,group_shuffle,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,RandomForest,sqrt,0.09613907688182584,0.040795339390368716,0.12819576079736308,0.046617816365256824,-0.4199519079680538,0.360569180513287,0.11515151515151514,0.22268088570756164,group_shuffle,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,GradientBoosting,sqrt,0.09928199673258335,0.028950520937543384,0.13057334414705216,0.043680089224498266,-0.5329468708048072,0.5158582296242188,0.14424242424242423,0.27354758786778366,group_shuffle,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,RandomForest,sqrt,0.12312940617999663,0.0422935606667429,0.14500650209574406,0.047151862793961864,-2.5120967988286207,4.712887914628115,-0.06298799762866675,0.6073428048941268,leave_one_treatment_out,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,CatBoost,sqrt,0.12587216137549512,0.03892304241717738,0.15123331219360725,0.04508848423622129,-2.951935579876664,5.006979206714727,-0.09682539682539687,0.6792769932509791,leave_one_treatment_out,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,GradientBoosting,sqrt,0.1309823091256794,0.0499876425986454,0.15449891964384313,0.056469576151650706,-2.0782125599377053,2.072052028703136,0.0560596214189523,0.6448558820016292,leave_one_treatment_out,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,XGBoost,sqrt,0.13138043499941665,0.04184703353729465,0.15348329123367085,0.04328051133568308,-2.993175143798554,4.183670362095773,0.10465770792551465,0.4603800805604032,leave_one_treatment_out,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,CatBoost,sqrt,0.14535663905109256,0.0401325108679855,0.18185774236485208,0.048261729038878924,-0.8942567003509885,0.4033600804463799,-0.30999999999999994,0.10268420213752469,leave_one_campaign_out,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,RandomForest,sqrt,0.15378277771960255,0.042371894776773146,0.18876613096426614,0.050973471964266034,-1.0404148267733335,0.4537112240494298,-0.1137019396684917,0.0790026049942164,leave_one_campaign_out,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,XGBoost,sqrt,0.1572294460725162,0.05735717326326598,0.1986820254937419,0.06746247877163487,-1.2583808716747735,0.81717291560301,-0.14197566786923843,0.048294800476121356,leave_one_campaign_out,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,GradientBoosting,sqrt,0.18287711241528004,0.05404276946178072,0.21740297166521474,0.06547239885971154,-1.7036689352175605,0.7709621120015369,-0.2860869565217391,0.13404285069449337,leave_one_campaign_out,image_time_only,Image features plus ageing_days; excludes campaign/treatment shortcut metadata.,35,True
wire_area_loss_frac,CatBoost,none,0.09630993945544294,0.025097806226113184,0.12379524601857202,0.03228836248297211,-0.4532642469928911,0.5382400716016794,0.14909090909090908,0.16913326286115513,group_shuffle,image_only,Image features only; diagnostic ablation for shortcut dependence.,34,False
wire_area_loss_frac,RandomForest,none,0.099729764699038,0.03525145064205402,0.1272700350744182,0.041192138887858776,-0.44374165796528875,0.40163986212367364,0.14909090909090908,0.2068434328019543,group_shuffle,image_only,Image features only; diagnostic ablation for shortcut dependence.,34,False
wire_area_loss_frac,GradientBoosting,none,0.10170475355434258,0.03660454641838245,0.13569105047769575,0.048027129413271606,-0.6335204245927288,0.4000259774065666,-0.0012121212121212089,0.25506440606182085,group_shuffle,image_only,Image features only; diagnostic ablation for shortcut dependence.,34,False
wire_area_loss_frac,XGBoost,none,0.10316171306257249,0.035770572195839394,0.13554952162978845,0.0483226342813567,-0.6128066333545827,0.33768922136796115,0.03757575757575757,0.22928002455564842,group_shuffle,image_only,Image features only; diagnostic ablation for shortcut dependence.,34,False
wire_area_loss_frac,CatBoost,none,0.121632929236208,0.04345860245130556,0.1489325220951452,0.04957993026404214,-2.907168640150066,5.009988623145962,-0.12857142857142856,0.5791993946608631,leave_one_treatment_out,image_only,Image features only; diagnostic ablation for shortcut dependence.,34,False
wire_area_loss_frac,RandomForest,none,0.1268322383614139,0.05385839978019284,0.15121087417135967,0.053913960464064686,-3.5848975597520205,6.777821687129828,0.05317460317460318,0.5858570286766958,leave_one_treatment_out,image_only,Image features only; diagnostic ablation for shortcut dependence.,34,False
wire_area_loss_frac,XGBoost,none,0.12777664138185285,0.03985502621031392,0.15083996164729155,0.04596133597838458,-3.5898925386597043,5.54574687902493,0.14891676427609518,0.6094863334888824,leave_one_treatment_out,image_only,Image features only; diagnostic ablation for shortcut dependence.,34,False
