feature,importance,importance_abs,importance_kind,direction,n_steel_mesh,split_name,repeat_id,fold_id,split_id
img_strip_rust_max_pct_slope,-0.025239611251329574,0.025239611251329574,coefficient,negative,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_s_mean_mean,0.024030795423540884,0.024030795423540884,coefficient,positive,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_strip_rust_max_pct_mean,0.02298240867405735,0.02298240867405735,coefficient,positive,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
peak_rust_pct_mean,-0.00040663497946902635,0.00040663497946902635,coefficient,negative,4,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_strip_rust_max_pct_mean,0.17702135538476294,0.17702135538476294,coefficient,positive,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
peak_rust_pct_max,-0.1173452042213663,0.1173452042213663,coefficient,negative,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_v_mean_mean,0.10780246925680449,0.10780246925680449,coefficient,positive,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
peak_rust_pct_terminal,-0.10191613127133611,0.10191613127133611,coefficient,negative,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_strip_rust_max_pct_terminal,0.09773473652786738,0.09773473652786738,coefficient,positive,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_v_mean_terminal,-0.09516453767068155,0.09516453767068155,coefficient,negative,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_strip_rust_max_pct_max,-0.09427356815319038,0.09427356815319038,coefficient,negative,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
peak_rust_pct_slope,-0.08748076045043761,0.08748076045043761,coefficient,negative,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_s_mean_mean,-0.06866186394026445,0.06866186394026445,coefficient,negative,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_s_mean_terminal,0.06564671623922996,0.06564671623922996,coefficient,positive,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_s_mean_max,0.06404227954807892,0.06404227954807892,coefficient,positive,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_v_mean_max,-0.05646951285397027,0.05646951285397027,coefficient,negative,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
n_rows_post_onset,-0.04801155737495324,0.04801155737495324,coefficient,negative,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_s_mean_slope,-0.044395114995061706,0.044395114995061706,coefficient,negative,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_strip_rust_max_pct_slope,0.0247917242477041,0.0247917242477041,coefficient,positive,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
img_hsv_v_mean_slope,0.020572766918691355,0.020572766918691355,coefficient,positive,7,grouped_cv,0,1,grouped_cv_repeat0_fold1
