target,feature_name,source_family,n_valid,spearman_corr,spearman_abs_corr
ultimate_load_kn,img_r_mean,image_color,48,-0.28632699896255914,0.28632699896255914
ultimate_load_kn,img_brightness_mean,image_color,48,-0.2684112026679735,0.2684112026679735
ultimate_load_kn,img_g_mean,image_color,48,-0.2615706259009499,0.2615706259009499
ultimate_load_kn,img_gray_hist_bin_2,image_histogram,48,0.2516423317930859,0.2516423317930859
ultimate_load_kn,img_rust_blob_eccentricity_max,image_morphology,48,0.23335522799492459,0.23335522799492459
ultimate_load_kn,img_glcm_contrast,image_texture,48,0.21536958757763974,0.21536958757763974
ultimate_load_kn,img_rust_blob_eccentricity_mean,image_morphology,48,-0.20696020901731255,0.20696020901731255
ultimate_load_kn,img_gray_hist_bin_5,image_histogram,48,-0.18594424942107793,0.18594424942107793
ultimate_load_kn,img_rust_blob_mean_ratio_pct,image_morphology,48,0.17921711699007048,0.17921711699007048
ultimate_load_kn,img_brightness_p90,image_color,48,-0.1538545264014422,0.1538545264014422
ultimate_load_kn,img_rust_center_of_mass_cm,image_spatial,48,0.1420815495798287,0.1420815495798287
ultimate_load_kn,img_r_std,image_color,48,0.09842829903661732,0.09842829903661732
ultimate_load_kn,img_gray_mask_ratio_pct,image_mask,48,-0.0932189608821421,0.0932189608821421
ultimate_load_kn,img_b_mean,image_color,48,-0.09066478730896355,0.09066478730896355
ultimate_load_kn,img_strip_peak_location_cm,image_spatial,48,0.0883980378559424,0.0883980378559424
ultimate_load_kn,img_glcm_energy,image_texture,48,-0.07665789202410571,0.07665789202410571
ultimate_load_kn,img_gray_hist_bin_7,image_histogram,48,-0.07546350560446667,0.07546350560446667
ultimate_load_kn,img_lbp_std,image_texture,48,-0.062053803529428346,0.062053803529428346
ultimate_load_kn,img_edge_to_center_rust_ratio,image_spatial,48,-0.04658233455846122,0.04658233455846122
ultimate_load_kn,img_lbp_mean,image_texture,48,-0.01221531565539928,0.01221531565539928
ultimate_load_kn,img_glcm_homogeneity,image_texture,48,-0.0009772252524319425,0.0009772252524319425
ultimate_load_kn,img_strip_count,image_spatial,48,,
wire_area_loss_frac,img_rust_blob_eccentricity_mean,image_morphology,48,0.3817407117317578,0.3817407117317578
wire_area_loss_frac,img_rust_blob_eccentricity_max,image_morphology,48,0.33113296423722444,0.33113296423722444
wire_area_loss_frac,ageing_days,temporal,48,0.30678391410280337,0.30678391410280337
wire_area_loss_frac,week,temporal,48,0.30678391410280337,0.30678391410280337
wire_area_loss_frac,n_steel_mesh,tabular_metadata,48,-0.30678391410280337,0.30678391410280337
wire_area_loss_frac,nacl_pct,tabular_metadata,48,0.30678391410280337,0.30678391410280337
wire_area_loss_frac,terminal_week,temporal,48,0.30678391410280337,0.30678391410280337
wire_area_loss_frac,terminal_days,temporal,48,0.30678391410280337,0.30678391410280337
wire_area_loss_frac,img_gray_hist_bin_6,image_histogram,48,0.28050369083803733,0.28050369083803733
wire_area_loss_frac,cover_mm,tabular_metadata,48,0.27876682587928786,0.27876682587928786
wire_area_loss_frac,img_lbp_mean,image_texture,48,-0.27583586626139817,0.27583586626139817
wire_area_loss_frac,img_gray_hist_bin_5,image_histogram,48,0.24913156752062524,0.24913156752062524
wire_area_loss_frac,img_black_mask_ratio_pct,image_mask,48,-0.23443930226761914,0.23443930226761914
wire_area_loss_frac,img_rust_blob_mean_ratio_pct,image_morphology,48,0.1994734985943708,0.1994734985943708
wire_area_loss_frac,img_gray_hist_bin_0,image_histogram,48,-0.18427125723163323,0.18427125723163323
wire_area_loss_frac,img_b_mean,image_color,48,-0.18399913156752062,0.18399913156752062
wire_area_loss_frac,img_brightness_p90,image_color,48,-0.1606061799144971,0.1606061799144971
wire_area_loss_frac,img_gray_mask_ratio_pct,image_mask,48,0.1320595978449263,0.1320595978449263
