specimen_id,campaign_id,treatment_code,current_week,current_corrosion_level,current_surface_total_rust_pct,current_peak_rust_pct,predicted_internal_damage_pct,predicted_ultimate_load_kn,health_index,rul_wire_20_weeks,rul_wire_25_weeks,rul_wire_30_weeks,rul_load_threshold_weeks,rul_health_threshold_weeks,estimated_rul_weeks,failure_probability,failure_probability_proxy,risk_class,reference_load_kn,load_threshold_kn
E05,campaign_2024_mesh4_nacl0.050_age260,SA,36.0,Moderate,2.385,16.761,26.928176676587306,1.7162662698412672,0.5554960398212723,0.0,5.0,42.0,0.0,31.0,0.0,0.6541052630144493,0.6541052630144493,High,2.39,1.9120000000000001
E06,campaign_2024_mesh4_nacl0.050_age260,SA,36.0,Moderate,2.638,13.87,14.978356374999997,1.8245466964285717,0.6917017363316574,,,,0.0,,0.0,0.5426825354059038,0.5426825354059038,Moderate,2.39,1.9120000000000001
F01,campaign_2024_mesh4_nacl0.050_age260,SA,36.0,Low,1.132,7.37,22.641565515873022,1.9142681249999975,0.6313013180221573,0.0,,,,,,0.20624857240249655,0.20624857240249655,Low,2.39,1.9120000000000001
F02,campaign_2024_mesh4_nacl0.050_age260,SA,36.0,High,3.389,32.664,38.15159937103171,1.830130089285714,0.4651057803832481,0.0,0.0,0.0,0.0,74.0,0.0,0.7262321827217556,0.7262321827217556,High,2.39,1.9120000000000001
F03,campaign_2024_mesh4_nacl0.050_age260,SA,36.0,Moderate,4.206,12.595,35.388298263888856,2.09616568452381,0.5265956721150231,0.0,0.0,0.0,,,0.0,0.6943668891960443,0.6943668891960443,High,2.39,1.9120000000000001
F04,campaign_2024_mesh4_nacl0.050_age260,SA,36.0,High,7.361,25.535,27.915309835317462,1.9474828869047625,0.5189923050484099,0.0,0.0,3.5,,,0.0,0.6456874713988936,0.6456874713988936,High,2.39,1.9120000000000001
F05,campaign_2024_mesh4_nacl0.050_age260,SA,36.0,Low,3.594,9.399,22.401163869047615,1.6834442162698449,0.592284606749919,0.0,,,0.0,,0.0,0.6218401617935859,0.6218401617935859,High,2.39,1.9120000000000001
F06,campaign_2024_mesh4_nacl0.050_age260,SA,36.0,Moderate,5.557,24.747,40.611475722222224,1.7699408928571423,0.47488903786700154,0.0,0.0,0.0,0.0,91.5,0.0,0.7310606351482063,0.7310606351482063,High,2.39,1.9120000000000001
G01,campaign_2024_mesh4_nacl0.050_age260,PA,36.0,Trace,0.0,0.0,14.596015724206357,1.9446096626984133,0.7044551253447571,4.0,13.0,22.5,,,13.0,0.313259863939609,0.313259863939609,Low,2.39,1.9120000000000001
G02,campaign_2024_mesh4_nacl0.050_age260,PA,36.0,Moderate,2.513,13.686,16.26808642857141,2.1075450099206376,0.707200219127099,,,,,,,0.15237387665474456,0.15237387665474456,Low,2.39,1.9120000000000001
