strategy,fold_id,holdout_group,model,target,task,n_train,n_test,mae,rmse,r2
leave_one_treatment_out,fold_00,MI,mlp_regressor,peak_rust_pct,regression,702,90,3.475153555300594,5.259557068367727,0.8619407018545551
leave_one_treatment_out,fold_01,NO,mlp_regressor,peak_rust_pct,regression,624,168,4.605959969180103,7.994856512794549,0.8245869956284628
leave_one_treatment_out,fold_02,PA,mlp_regressor,peak_rust_pct,regression,669,123,10.1631664499739,14.646026904600047,-5.540819291109818
leave_one_treatment_out,fold_03,SA,mlp_regressor,peak_rust_pct,regression,486,306,5.551640834141825,8.102691723843794,0.6142885917360275
leave_one_treatment_out,fold_04,SA_PA,mlp_regressor,peak_rust_pct,regression,747,45,2.3728704329152603,3.2765018739882796,0.841827014288514
leave_one_treatment_out,fold_05,SA_VF,mlp_regressor,peak_rust_pct,regression,762,30,3.5699452959242866,4.753423774487238,0.890581579733843
leave_one_treatment_out,fold_06,VF,mlp_regressor,peak_rust_pct,regression,762,30,3.466658428610244,5.773512001107933,0.7486052805550625
leave_one_campaign_out,fold_00,campaign_2022_mesh7_nacl0.035_age201,linear_regression,peak_rust_pct,regression,432,360,6.4392397020091945,8.192993238049352,0.5992914534460316
leave_one_campaign_out,fold_01,campaign_2024_mesh4_nacl0.050_age260,linear_regression,peak_rust_pct,regression,360,432,15.826262448889688,139.98876640560496,-87.18167720080834
leave_one_campaign_out,fold_00,campaign_2022_mesh7_nacl0.035_age201,random_forest,peak_rust_pct,regression,432,360,4.9689312135511425,6.818840018584721,0.7224351834416274
leave_one_campaign_out,fold_01,campaign_2024_mesh4_nacl0.050_age260,random_forest,peak_rust_pct,regression,360,432,7.52452866694767,10.54731919639872,0.499416926441968
leave_one_campaign_out,fold_00,campaign_2022_mesh7_nacl0.035_age201,hist_gradient_boosting,peak_rust_pct,regression,432,360,5.020820025548511,7.312985536324069,0.6807485771395652
leave_one_campaign_out,fold_01,campaign_2024_mesh4_nacl0.050_age260,hist_gradient_boosting,peak_rust_pct,regression,360,432,7.402043398278223,10.452558953456203,0.508371294097514
leave_one_campaign_out,fold_00,campaign_2022_mesh7_nacl0.035_age201,mlp_regressor,peak_rust_pct,regression,432,360,8.032716162899211,10.64765535505045,0.32321397343846403
leave_one_campaign_out,fold_01,campaign_2024_mesh4_nacl0.050_age260,mlp_regressor,peak_rust_pct,regression,360,432,6.837742983625476,9.934576128627603,0.5558898837117403
