stage,feature_name,source_family,data_type,missing_count,missing_fraction,nunique,variance,top_value_fraction,included_in_stage,exclusion_reason
hidden_damage,img_gray_hist_bin_4,image_histogram,float64,0,0.0,48,2.2624415894787683e-05,0.020833333333333332,True,
hidden_damage,img_gray_hist_bin_5,image_histogram,float64,0,0.0,48,2.0840962440638606e-05,0.020833333333333332,True,
hidden_damage,img_gray_hist_bin_6,image_histogram,float64,0,0.0,48,3.5743675085656294e-05,0.020833333333333332,True,
hidden_damage,img_gray_hist_bin_7,image_histogram,float64,0,0.0,48,0.00010892492350824462,0.020833333333333332,True,
hidden_damage,img_glcm_contrast,image_texture,float64,0,0.0,48,17.945064141729457,0.020833333333333332,True,
hidden_damage,img_glcm_homogeneity,image_texture,float64,0,0.0,48,0.022902660598764713,0.020833333333333332,True,
hidden_damage,img_glcm_energy,image_texture,float64,0,0.0,48,0.0200871228308479,0.020833333333333332,True,
hidden_damage,img_lbp_mean,image_texture,float64,0,0.0,48,0.17554432254271404,0.020833333333333332,True,
hidden_damage,img_lbp_std,image_texture,float64,0,0.0,48,0.042340488702684566,0.020833333333333332,True,
hidden_damage,img_rust_blob_count,image_morphology,float64,0,0.0,46,837792.7655141845,0.041666666666666664,True,
hidden_damage,img_rust_blob_largest_ratio_pct,image_morphology,float64,0,0.0,47,38.91395692859019,0.041666666666666664,True,
hidden_damage,img_rust_blob_mean_ratio_pct,image_morphology,float64,0,0.0,47,5.6010992147266464e-05,0.041666666666666664,True,
hidden_damage,img_rust_blob_eccentricity_mean,image_morphology,float64,0,0.0,47,0.021759776427510712,0.041666666666666664,True,
hidden_damage,img_rust_blob_eccentricity_max,image_morphology,float64,0,0.0,2,0.040780141843971635,0.9583333333333334,True,
hidden_damage,img_strip_count,image_spatial,float64,0,0.0,1,0.0,1.0,False,constant feature for the current extraction pipeline
hidden_damage,img_strip_rust_mean_pct,image_spatial,float64,0,0.0,47,99.90256553938059,0.041666666666666664,True,
hidden_damage,img_strip_rust_std_pct,image_spatial,float64,0,0.0,47,25.917005337303557,0.041666666666666664,True,
hidden_damage,img_strip_rust_max_pct,image_spatial,float64,0,0.0,47,381.3589642532061,0.041666666666666664,True,
hidden_damage,img_strip_rust_p90_pct,image_spatial,float64,0,0.0,46,258.8754487433456,0.0625,True,
hidden_damage,img_strip_high_count,image_spatial,float64,0,0.0,26,207.18971631205667,0.125,True,
hidden_damage,img_strip_peak_location_cm,image_spatial,float64,0,0.0,33,59.54930131688434,0.16666666666666666,True,
hidden_damage,img_rust_center_of_mass_cm,image_spatial,float64,0,0.0,47,17.015235593966853,0.041666666666666664,True,
hidden_damage,img_edge_to_center_rust_ratio,image_spatial,float64,0,0.0,47,10.447667563200792,0.041666666666666664,False,unstable ratio in low-rust images
