stage,feature_name,source_family,data_type,variance,nunique,top_value_fraction,included_in_stage
hidden_damage,img_rust_area_ratio_pct,image_mask,float64,100.49537304385763,47,0.041666666666666664,False
hidden_damage,img_black_mask_ratio_pct,image_mask,float64,1.5410928874281274e-05,20,0.5625,False
hidden_damage,img_gray_mask_ratio_pct,image_mask,float64,2.2739196628066685,47,0.041666666666666664,False
hidden_damage,img_brightness_mean,image_color,float64,1200.3625803082234,48,0.020833333333333332,False
hidden_damage,img_brightness_std,image_color,float64,111.72101775391926,48,0.020833333333333332,False
hidden_damage,img_brightness_p10,image_color,float64,1923.3758865248226,41,0.0625,False
hidden_damage,img_brightness_p90,image_color,float64,741.1046099290782,34,0.08333333333333333,False
hidden_damage,img_contrast,image_color,float64,111.72101775391926,48,0.020833333333333332,False
hidden_damage,img_r_mean,image_color,float64,945.9601907473419,48,0.020833333333333332,False
hidden_damage,img_g_mean,image_color,float64,1418.839230377287,48,0.020833333333333332,False
hidden_damage,img_b_mean,image_color,float64,1058.6613043074242,48,0.020833333333333332,False
hidden_damage,img_r_std,image_color,float64,90.90586571877178,48,0.020833333333333332,False
hidden_damage,img_g_std,image_color,float64,141.0812673254716,48,0.020833333333333332,False
hidden_damage,img_b_std,image_color,float64,166.51810245016122,48,0.020833333333333332,False
hidden_damage,img_gray_hist_bin_0,image_histogram,float64,5.265821479115184e-09,44,0.08333333333333333,False
hidden_damage,img_gray_hist_bin_1,image_histogram,float64,2.9652418834555245e-07,46,0.0625,False
hidden_damage,img_gray_hist_bin_2,image_histogram,float64,3.2441461788602945e-06,47,0.041666666666666664,False
hidden_damage,img_gray_hist_bin_3,image_histogram,float64,6.621095782795394e-06,48,0.020833333333333332,False
hidden_damage,img_gray_hist_bin_4,image_histogram,float64,2.2624415894787683e-05,48,0.020833333333333332,False
hidden_damage,img_gray_hist_bin_5,image_histogram,float64,2.084096244063861e-05,48,0.020833333333333332,False
hidden_damage,img_gray_hist_bin_6,image_histogram,float64,3.574367508565629e-05,48,0.020833333333333332,False
hidden_damage,img_gray_hist_bin_7,image_histogram,float64,0.00010892492350824462,48,0.020833333333333332,False
hidden_damage,img_glcm_contrast,image_texture,float64,17.945064141729464,48,0.020833333333333332,False
hidden_damage,img_glcm_homogeneity,image_texture,float64,0.022902660598764703,48,0.020833333333333332,False
hidden_damage,img_glcm_energy,image_texture,float64,0.020087122830847893,48,0.020833333333333332,False
hidden_damage,img_lbp_mean,image_texture,float64,0.17554432254271404,48,0.020833333333333332,False
hidden_damage,img_lbp_std,image_texture,float64,0.04234048870268455,48,0.020833333333333332,False
hidden_damage,img_rust_blob_count,image_morphology,float64,837792.7655141846,46,0.041666666666666664,False
hidden_damage,img_rust_blob_largest_ratio_pct,image_morphology,float64,38.91395692859018,47,0.041666666666666664,False
hidden_damage,img_rust_blob_mean_ratio_pct,image_morphology,float64,5.601099214726646e-05,47,0.041666666666666664,False
hidden_damage,img_rust_blob_eccentricity_mean,image_morphology,float64,0.021759776427510712,47,0.041666666666666664,False
hidden_damage,img_rust_blob_eccentricity_max,image_morphology,float64,0.04078014184397166,2,0.9583333333333334,False
hidden_damage,img_strip_count,image_spatial,float64,0.0,1,1.0,False
hidden_damage,img_strip_rust_mean_pct,image_spatial,float64,99.90256553938056,47,0.041666666666666664,False
hidden_damage,img_strip_rust_std_pct,image_spatial,float64,25.917005337303557,47,0.041666666666666664,False
hidden_damage,img_strip_rust_max_pct,image_spatial,float64,381.35896425320624,47,0.041666666666666664,False
hidden_damage,img_strip_rust_p90_pct,image_spatial,float64,258.8754487433456,46,0.0625,False
hidden_damage,img_strip_high_count,image_spatial,float64,207.1897163120568,26,0.125,False
hidden_damage,img_strip_peak_location_cm,image_spatial,float64,59.54930131688434,33,0.16666666666666666,False
hidden_damage,img_rust_center_of_mass_cm,image_spatial,float64,17.015235593966857,47,0.041666666666666664,False
hidden_damage,img_edge_to_center_rust_ratio,image_spatial,float64,10.447667563200797,47,0.041666666666666664,False
